Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh
1,08:00,14.8,14.8,2.96
2,08:15,13.60891587539222,14.8,2.96
3,08:30,12.361419709596555,14.8,2.96
4,08:45,11.202329912883966,14.8,2.96
5,09:00,10.0730518082198,14.8,2.96
6,09:15,10.0730518082198,14.8,2.96
7,09:30,8.779417035748503,14.8,2.96
8,09:45,7.695257410781424,14.8,2.96
9,10:00,6.4432388576901625,14.8,2.96
10,10:15,5.202133311732217,14.8,2.96
11,10:30,7.202133311732217,14.8,2.96
12,10:45,6.007407669274154,14.8,2.96
13,11:00,7.7319,14.8,2.96
14,11:15,6.5709782723081265,14.8,2.96
15,11:30,5.359659943487201,14.8,2.96
16,11:45,4.194103135575897,14.8,2.96
17,12:00,2.975971782364817,14.8,2.96
18,12:15,2.975971782364817,14.8,2.96
19,12:30,2.975971782364817,14.8,2.96
20,12:45,4.975971782364817,14.8,2.96
21,13:00,6.800000000000002,14.8,2.96
22,13:15,6.800000000000002,14.8,2.96
23,13:30,8.800000000000002,14.8,2.96
24,13:45,10.800000000000002,14.8,2.96
25,14:00,12.800000000000002,14.8,2.96
26,14:15,12.106095706391898,14.8,2.96
27,14:30,11.020290167926305,14.8,2.96
28,14:45,10.186845804659187,14.8,2.96
29,15:00,8.880472468582663,14.8,2.96
30,15:15,9.136125,14.8,2.96
31,15:30,8.429756950812978,14.8,2.96
32,15:45,10.346475000000002,14.8,2.96
33,16:00,9.648106546715043,14.8,2.96
34,16:15,8.376119703605546,14.8,2.96
35,16:30,7.478242482043026,14.8,2.96
36,16:45,6.712531345748129,14.8,2.96
37,17:00,6.800000000000001,14.8,2.96
38,17:15,8.8,14.8,2.96
39,17:30,10.8,14.8,2.96
40,17:45,12.8,14.8,2.96
41,18:00,12.8,14.8,2.96
42,18:15,14.8,14.8,2.96
43,18:30,14.8,14.8,2.96
44,18:45,14.8,14.8,2.96
45,19:00,14.8,14.8,2.96
46,19:15,14.8,14.8,2.96
47,19:30,14.8,14.8,2.96
48,19:45,14.8,14.8,2.96
49,20:00,14.8,14.8,2.96
50,20:15,14.8,14.8,2.96
51,20:30,14.8,14.8,2.96
52,20:45,14.8,14.8,2.96
53,21:00,14.8,14.8,2.96
54,21:15,14.8,14.8,2.96
55,21:30,14.8,14.8,2.96
56,21:45,14.8,14.8,2.96
57,22:00,14.8,14.8,2.96
58,22:15,14.8,14.8,2.96
59,22:30,14.8,14.8,2.96
60,22:45,14.8,14.8,2.96
61,23:00,14.8,14.8,2.96
62,23:15,14.8,14.8,2.96
63,23:30,14.8,14.8,2.96
64,23:45,14.8,14.8,2.96
65,00:00,14.8,14.8,2.96
66,00:15,14.8,14.8,2.96
67,00:30,14.8,14.8,2.96
68,00:45,14.8,14.8,2.96
69,01:00,14.8,14.8,2.96
70,01:15,14.8,14.8,2.96
71,01:30,14.8,14.8,2.96
72,01:45,14.8,14.8,2.96
73,02:00,14.8,14.8,2.96
74,02:15,14.8,14.8,2.96
75,02:30,14.8,14.8,2.96
76,02:45,14.8,14.8,2.96
77,03:00,14.8,14.8,2.96
78,03:15,14.8,14.8,2.96
79,03:30,14.8,14.8,2.96
80,03:45,14.8,14.8,2.96
81,04:00,14.8,14.8,2.96
82,04:15,14.8,14.8,2.96
83,04:30,14.8,14.8,2.96
84,04:45,14.8,14.8,2.96
85,05:00,14.8,14.8,2.96
86,05:15,14.8,14.8,2.96
87,05:30,14.8,14.8,2.96
88,05:45,14.8,14.8,2.96
89,06:00,14.8,14.8,2.96
90,06:15,14.8,14.8,2.96
91,06:30,14.8,14.8,2.96
92,06:45,14.8,14.8,2.96
93,07:00,14.8,14.8,2.96
94,07:15,14.8,14.8,2.96
95,07:30,14.8,14.8,2.96
96,07:45,14.8,14.8,2.96
97,08:00,14.8,14.8,2.96
