Time_Period,Time_Start_Label,Time_End_Label,Electricity_Price_USD_per_kWh,CO2_Emission_Factor_kg_CO2_per_kWh
1,08:00,08:15,0.387,0.184844771
2,08:15,08:30,0.387,0.18748346
3,08:30,08:45,0.387,0.187221003
4,08:45,09:00,0.387,0.174390042
5,09:00,09:15,0.387,0.169646374
6,09:15,09:30,0.387,0.179379949
7,09:30,09:45,0.387,0.173308146
8,09:45,10:00,0.387,0.169005444
9,10:00,10:15,0.261,0.166717776
10,10:15,10:30,0.261,0.171203448
11,10:30,10:45,0.261,0.169740242
12,10:45,11:00,0.261,0.157205795
13,11:00,11:15,0.261,0.156127377
14,11:15,11:30,0.261,0.158874986
15,11:30,11:45,0.261,0.155246426
16,11:45,12:00,0.261,0.147787556
17,12:00,12:15,0.261,0.142853662
18,12:15,12:30,0.261,0.150148781
19,12:30,12:45,0.261,0.142166138
20,12:45,13:00,0.261,0.134292064
21,13:00,13:15,0.261,0.126533506
22,13:15,13:30,0.261,0.136996378
23,13:30,13:45,0.261,0.130425591
24,13:45,14:00,0.261,0.124229477
25,14:00,14:15,0.387,0.120622693
26,14:15,14:30,0.387,0.126193867
27,14:30,14:45,0.387,0.126695016
28,14:45,15:00,0.387,0.123729362
29,15:00,15:15,0.387,0.125497949
30,15:15,15:30,0.387,0.132440012
31,15:30,15:45,0.387,0.128745287
32,15:45,16:00,0.387,0.12752758
33,16:00,16:15,0.627,0.130457634
34,16:15,16:30,0.627,0.129548016
35,16:30,16:45,0.627,0.132261205
36,16:45,17:00,0.627,0.134973404
37,17:00,17:15,0.627,0.14154539
38,17:15,17:30,0.627,0.160302751
39,17:30,17:45,0.627,0.166092752
40,17:45,18:00,0.627,0.162902898
