Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
1,1,08:00,08:15,-0.0,0.0,10.0,250.0,247.5,4.761284160104799,14.8,13.6096789599738
2,2,08:15,08:30,0.0,0.0,0.0,247.5,247.5,4.982544416937007,13.6096789599738,12.364042855739548
3,3,08:30,08:45,0.0,0.0,0.0,247.5,247.5,4.635795469070083,12.364042855739548,11.205093988472028
4,4,08:45,09:00,0.0,0.0,0.0,247.5,247.5,4.518867549066841,11.205093988472028,10.075377101205317
5,5,09:00,09:15,0.0,-2.842170943040401e-14,0.0,247.5,247.5,0.0,10.075377101205317,10.07537710120531
6,6,09:15,09:30,0.0,0.0,0.0,247.5,247.5,5.175138887870278,10.07537710120531,8.781592379237741
7,7,09:30,09:45,0.0,0.0,0.0,247.5,247.5,4.3419030890784605,8.781592379237741,7.696116606968126
8,8,09:45,10:00,0.0,6.502033572127495,3.4638958368304884e-14,247.5,245.78893853365065,0.0,7.696116606968126,9.321625000000001
9,9,10:00,10:15,0.0,0.0,0.0,245.78893853365065,245.78893853365065,5.000282200457121,9.321625000000001,8.07155444988572
10,10,10:15,10:30,0.0,-3.6287417515268316e-11,-1.4958794437095556e-15,245.78893853365065,245.7889385336602,2.7720280556075387,8.07155444988572,7.378547435974764
11,11,10:30,10:45,0.0,0.0,0.0,245.7889385336602,245.7889385336602,4.957479020315366,7.378547435974764,6.139177680895923
12,12,10:45,11:00,0.0,6.363089276416307,-1.509903313490213e-14,245.7889385336602,244.1144413556559,0.0,6.139177680895923,7.72995
13,13,11:00,11:15,0.0,0.0,0.0,244.1144413556559,244.1144413556559,4.647030130866886,7.72995,6.5681924672832785
14,14,11:15,11:30,0.0,0.0,0.0,244.1144413556559,244.1144413556559,4.775566982669737,6.5681924672832785,5.374300721615844
15,15,11:30,11:45,0.0,0.0,0.0,244.1144413556559,244.1144413556559,4.840647096221305,5.374300721615844,4.164138947560518
16,16,11:45,12:00,0.0,0.0,-3.410605131648481e-13,244.1144413556559,244.114441355656,4.661160489172777,4.164138947560518,2.9988488252673244
17,17,12:00,12:15,0.0,0.0,0.0,244.114441355656,244.114441355656,0.0,2.9988488252673244,2.9988488252673244
18,18,12:15,12:30,0.0,0.0,-1.1368683772161603e-13,244.114441355656,244.11444135565603,0.0,2.9988488252673244,2.9988488252673244
