step,clock,status,objective,gap_percent,solve_time_s
1,08:00,OPTIMAL,125.0,0.0,0.24520301818847656
2,08:15,OPTIMAL,62.5,0.0,0.28281378746032715
3,08:30,OPTIMAL,62.5,0.0,0.19811797142028809
4,08:45,OPTIMAL,62.5,0.0,0.2857048511505127
5,09:00,OPTIMAL,62.49999999999929,0.0,0.12314605712890625
6,09:15,OPTIMAL,62.499999999999886,0.0,0.1813361644744873
7,09:30,OPTIMAL,62.5,0.0,0.14663410186767578
8,09:45,OPTIMAL,62.5,2.955857780762017e-13,0.16075992584228516
9,10:00,OPTIMAL,62.5,0.0,0.18286705017089844
10,10:15,OPTIMAL,62.5,0.0,0.1394822597503662
11,10:30,OPTIMAL,62.5,0.0,0.24010205268859863
12,10:45,OPTIMAL,62.49999999999972,1.1368683772161653e-14,0.10886120796203613
13,11:00,OPTIMAL,62.49999999999911,0.0,0.05045294761657715
14,11:15,OPTIMAL,62.49999999999929,0.0,0.11726737022399902
15,11:30,OPTIMAL,62.5,0.0,0.12172293663024902
16,11:45,OPTIMAL,62.49999999999911,0.0,0.07286190986633301
17,12:00,OPTIMAL,62.5,0.0,0.07211589813232422
18,12:15,OPTIMAL,62.5,0.0,0.058585166931152344
19,12:30,OPTIMAL,62.5,0.0,0.058870792388916016
20,12:45,OPTIMAL,62.49999999999925,0.0,0.07302117347717285
21,13:00,OPTIMAL,62.5,0.0,0.02126288414001465
22,13:15,OPTIMAL,62.5,0.0,0.0316767692565918
23,13:30,OPTIMAL,62.5,0.0,0.026853084564208984
24,13:45,OPTIMAL,62.5,0.0,0.04639005661010742
25,14:00,OPTIMAL,62.5,6.139089236967266e-13,0.02560281753540039
26,14:15,OPTIMAL,62.5,0.0,0.017256975173950195
27,14:30,OPTIMAL,62.49999999999997,0.0,0.02605414390563965
28,14:45,OPTIMAL,62.5,6.139089236967266e-13,0.027827024459838867
29,15:00,OPTIMAL,62.5,0.0,0.011955022811889648
30,15:15,OPTIMAL,62.5,0.0,0.013626813888549805
31,15:30,OPTIMAL,62.5,0.0,0.01634693145751953
32,15:45,OPTIMAL,62.5,0.0,0.010363101959228516
33,16:00,OPTIMAL,62.49999999999972,0.0,0.008718013763427734
34,16:15,OPTIMAL,62.5,0.0,0.007653713226318359
35,16:30,OPTIMAL,62.5,0.0,0.0021250247955322266
36,16:45,OPTIMAL,62.5,0.0,0.0010957717895507812
37,17:00,OPTIMAL,62.5,0.0,0.0008330345153808594
38,17:15,OPTIMAL,62.5,0.0,0.0007078647613525391
39,17:30,OPTIMAL,62.5,0.0,0.00047588348388671875
40,17:45,OPTIMAL,0.0,0.0,0.0003497600555419922
