k,clock,price,co2,grid_kW,dch_kW,work_kW,soe_mcs,soe_cev1,soe_cev2,mcs_node,est_dig,est_load,est_trv,est_idle,unc_dig,unc_load,unc_trv,unc_idle,n_obs
1,08:00,0.387,0.184844771,0.0,0.0,4.79,247.5,13.602500000000001,NaN,0,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,1
2,08:15,0.387,0.18748346,0.0,0.0,4.79,247.5,12.405000000000001,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,2
3,08:30,0.387,0.187221003,0.0,0.0,4.79,247.5,11.207500000000001,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,3
4,08:45,0.387,0.174390042,0.0,0.0,4.79,247.5,10.010000000000002,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,4
5,09:00,0.387,0.169646374,0.0,0.0,4.71,247.5,8.832500000000001,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,5
6,09:15,0.387,0.179379949,0.0,0.0,4.79,247.5,7.635000000000002,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,6
7,09:30,0.387,0.173308146,0.0,0.0,0.0,247.5,7.635000000000002,NaN,2,4.79,3.16,4.71,0.0,0.9580000000000001,0.6320000000000001,0.9420000000000001,0.05,7
8,09:45,0.387,0.169005444,0.0,0.0,4.79,247.5,6.437500000000002,NaN,2,4.795616515064975,3.154292720407985,4.307011234678209,0.04025792382990774,0.11582775277294459,0.6035330229702619,0.26904797590390805,0.031509576734170035,8
9,10:00,0.261,0.166717776,0.0,0.0,4.79,247.5,5.240000000000002,NaN,2,4.795616515064975,3.154292720407985,4.307011234678209,0.04025792382990774,0.11582775277294459,0.6035330229702619,0.26904797590390805,0.031509576734170035,9
10,10:15,0.261,0.171203448,0.0,0.0,4.79,247.5,4.042500000000002,NaN,2,4.795616515064975,3.154292720407985,4.307011234678209,0.04025792382990774,0.11582775277294459,0.6035330229702619,0.26904797590390805,0.031509576734170035,10
11,10:30,0.261,0.169740242,0.0,6.444376627532947,0.0,245.8041114138071,5.653594156883239,NaN,2,4.795616515064975,3.154292720407985,4.307011234678209,0.04025792382990774,0.11582775277294459,0.6035330229702619,0.26904797590390805,0.031509576734170035,11
12,10:45,0.261,0.157205795,0.0,0.0,4.71,245.8041114138071,4.476094156883239,NaN,2,4.795616515064975,3.154292720407985,4.307011234678209,0.04025792382990774,0.11582775277294459,0.6035330229702619,0.26904797590390805,0.031509576734170035,12
13,11:00,0.261,0.156127377,0.0,0.0,3.16,245.8041114138071,3.6860941568832386,NaN,2,4.795616515064975,3.154292720407985,4.307011234678209,0.04025792382990774,0.11582775277294459,0.6035330229702619,0.26904797590390805,0.031509576734170035,13
14,11:15,0.261,0.158874986,0.0,6.727114326426902,0.0,244.03381817001053,5.3678727384899645,NaN,2,4.795616515064975,3.154292720407985,4.307011234678209,0.04025792382990774,0.11582775277294459,0.6035330229702619,0.26904797590390805,0.031509576734170035,14
15,11:30,0.261,0.155246426,0.0,0.0,4.79,244.03381817001053,4.170372738489965,NaN,2,4.795616515064975,3.154292720407985,4.307011234678209,0.04025792382990774,0.11582775277294459,0.6035330229702619,0.26904797590390805,0.031509576734170035,15
16,11:45,0.261,0.147787556,0.0,0.0,4.79,244.03381817001053,2.972872738489965,NaN,2,4.697384981337774,3.239556081526855,4.708604318165448,0.046772649269343096,0.1045422589298519,0.3049504933401013,0.21684435917446696,0.03080707763512499,16
17,12:00,0.261,0.142853662,0.0,8.0,0.0,241.9285550121158,4.972872738489965,NaN,2,4.697384981337774,3.239556081526855,4.708604318165448,0.046772649269343096,0.1045422589298519,0.3049504933401013,0.21684435917446696,0.03080707763512499,17
18,12:15,0.261,0.150148781,0.0,0.0,0.0,241.92855501211582,4.972872738489965,NaN,2,4.697384981337774,3.239556081526855,4.708604318165448,0.046772649269343096,0.1045422589298519,0.3049504933401013,0.21684435917446696,0.03080707763512499,18
19,12:30,0.261,0.142166138,0.0,0.0,0.0,241.92855501211582,4.972872738489965,NaN,2,4.697384981337774,3.239556081526855,4.708604318165448,0.046772649269343096,0.1045422589298519,0.3049504933401013,0.21684435917446696,0.03080707763512499,19
20,12:45,0.261,0.134292064,0.0,7.542372292386716,0.0,239.94372019832986,6.858465811586644,NaN,2,4.697384981337774,3.239556081526855,4.708604318165448,0.046772649269343096,0.1045422589298519,0.3049504933401013,0.21684435917446696,0.03080707763512499,20
21,13:00,0.261,0.126533506,0.0,7.953227350730796,0.0,237.85076563234807,8.846772649269344,NaN,2,4.697384981337774,3.239556081526855,4.708604318165448,0.046772649269343096,0.1045422589298519,0.3049504933401013,0.21684435917446696,0.03080707763512499,21
22,13:15,0.261,0.136996378,0.0,7.9532273507306535,0.0,235.75781106636634,10.835079486952008,NaN,2,4.697384981337774,3.239556081526855,4.708604318165448,0.046772649269343096,0.1045422589298519,0.3049504933401013,0.21684435917446696,0.03080707763512499,22
23,13:30,0.261,0.130425591,0.0,7.953227350730657,0.0,233.6648565003846,12.823386324634672,NaN,2,4.697384981337774,3.239556081526855,4.708604318165448,0.046772649269343096,0.1045422589298519,0.3049504933401013,0.21684435917446696,0.03080707763512499,23
24,13:45,0.261,0.124229477,0.0,7.953227350730657,0.0,231.57190193440283,14.8,NaN,2,4.689364060980319,3.2345743517294276,4.700212747294048,0.028282972588256617,0.10417075088972888,0.29363279923829816,0.21562731807684477,0.026072310235995065,24
25,14:00,0.387,0.120622693,0.0,0.0,3.16,231.57190193440286,14.010000000000002,NaN,2,4.689364060980319,3.2345743517294276,4.700212747294048,0.028282972588256617,0.10417075088972888,0.29363279923829816,0.21562731807684477,0.026072310235995065,25
26,14:15,0.387,0.126193867,0.0,0.0,4.71,231.57190193440286,12.832500000000001,NaN,2,4.689364060980319,3.2345743517294276,4.700212747294048,0.028282972588256617,0.10417075088972888,0.29363279923829816,0.21562731807684477,0.026072310235995065,26
27,14:30,0.387,0.126695016,0.0,0.0,4.79,231.57190193440286,11.635000000000002,NaN,2,4.689364060980319,3.2345743517294276,4.700212747294048,0.028282972588256617,0.10417075088972888,0.29363279923829816,0.21562731807684477,0.026072310235995065,27
28,14:45,0.387,0.123729362,0.0,0.0,4.79,231.57190193440286,10.437500000000002,NaN,2,4.689364060980319,3.2345743517294276,4.700212747294048,0.028282972588256617,0.10417075088972888,0.29363279923829816,0.21562731807684477,0.026072310235995065,28
