replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45
08:00,13.603,12.405,11.208,11.208,10.011,8.834,7.636,7.636,6.439,5.242,4.044,6.044,8.044,6.868,5.67,4.473,6.473,8.473,10.473,12.473,14.473,14.8,14.8,14.8,13.603,12.405,11.228,10.439,12.439,11.649,10.859,10.07,8.893,10.893,10.103,9.313,11.313,13.313,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
08:15,13.603,12.412,11.215,10.018,10.018,8.841,7.643,9.643,8.446,10.446,9.656,8.459,7.282,6.085,8.085,6.887,8.887,10.887,12.887,14.8,14.8,14.8,14.8,14.8,13.603,12.405,11.228,10.031,12.031,11.241,10.452,12.452,11.662,10.485,9.696,8.906,10.906,12.906,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
08:30,13.603,12.412,11.166,10.376,10.376,9.2,9.2,8.002,8.002,6.805,5.608,7.608,6.41,5.233,4.036,3.246,5.246,7.246,9.246,11.246,13.246,14.8,14.8,14.8,13.603,12.405,11.228,10.031,12.031,10.834,10.044,9.254,8.078,10.078,9.288,8.498,10.498,12.498,14.498,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
08:45,13.603,12.412,11.166,10.007,12.007,10.831,9.633,8.436,7.238,7.238,9.055,7.858,9.858,8.681,7.484,6.287,6.287,6.287,6.287,6.287,8.287,8.287,10.287,10.287,9.089,7.892,6.715,5.925,7.925,7.136,6.346,5.556,4.379,6.379,5.59,4.8,6.8,8.8,10.8,12.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
09:00,13.603,12.412,11.166,10.007,10.498,9.321,8.124,6.926,5.729,7.729,6.532,5.355,4.157,2.96,4.157,2.96,2.96,2.96,4.8,6.8,8.8,10.8,12.8,14.8,14.01,12.833,12.044,11.254,13.254,12.464,11.267,13.267,12.09,14.09,13.301,12.511,14.511,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
09:15,13.603,12.412,11.166,10.007,10.498,9.321,8.124,6.926,5.729,6.926,5.729,4.552,3.355,5.355,4.157,2.96,2.96,2.96,4.8,6.8,8.8,10.8,12.8,14.8,13.603,12.426,12.715,11.925,11.136,10.346,9.556,11.556,10.379,9.59,8.8,10.8,12.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
09:30,13.603,12.412,11.166,10.007,10.498,9.321,8.006,10.006,8.808,7.611,6.414,5.237,6.552,5.355,4.157,2.96,2.96,2.96,2.96,2.96,3.089,5.089,7.089,9.089,7.892,6.715,5.925,5.136,7.136,6.346,5.556,4.379,3.59,5.59,4.8,6.8,8.8,10.8,12.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
09:45,13.603,12.412,11.166,10.007,10.498,9.321,8.006,6.921,5.723,7.723,6.526,5.349,4.152,4.947,4.157,2.96,4.8,6.8,8.8,10.8,12.8,14.8,14.8,14.8,13.603,12.426,11.228,13.228,12.439,11.649,10.859,9.683,10.379,9.59,8.8,10.8,12.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
10:00,13.603,12.412,11.166,10.007,10.498,9.321,8.006,6.921,6.078,7.729,6.532,5.355,4.157,2.96,4.157,2.96,4.96,6.96,8.96,10.96,12.96,14.8,14.8,14.8,13.603,13.603,12.426,11.228,13.228,12.439,11.649,10.859,9.683,11.683,10.893,10.103,12.103,14.103,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
10:15,13.603,12.412,11.166,10.007,10.498,9.321,8.006,6.921,6.078,8.175,6.978,5.801,4.603,3.406,3.406,3.406,3.406,3.406,4.694,6.694,8.694,10.694,12.694,14.694,13.497,12.3,14.3,13.123,11.925,11.136,10.346,12.346,11.556,10.379,9.59,8.8,10.8,12.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
