replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45
08:00,250.0,250.0,247.5,247.5,247.5,247.5,247.5,245.395,245.395,245.395,245.395,245.395,243.289,243.289,243.289,241.184,239.079,236.974,234.868,232.84,232.84,232.84,232.84,232.84,232.84,232.84,232.84,232.84,230.838,230.838,230.838,230.838,230.838,228.733,228.733,228.733,226.627,224.522,222.417,219.917,219.917,219.917,219.917,219.917,219.917,219.917,219.917,219.917,219.917,219.917,219.917,219.917,220.6,221.284,221.968,222.652,223.335,224.019,224.703,225.386,226.07,226.754,227.438,228.121,228.805,229.489,230.172,230.856,231.54,232.224,232.907,233.591,234.275,234.958,235.642,236.326,237.01,237.693,238.377,239.061,239.744,240.428,241.112,241.795,242.479,243.163,243.847,244.53,245.214,245.898,246.581,247.265,247.949,248.633,249.316,250.0
08:15,250.0,250.0,250.0,250.0,247.5,247.5,247.5,247.5,247.5,245.395,245.395,243.289,243.289,243.289,243.289,243.289,241.184,239.079,236.974,234.868,232.873,232.873,232.873,232.873,232.873,232.873,232.873,230.845,230.845,230.845,230.845,230.845,230.845,230.845,230.845,230.845,228.74,226.635,224.529,222.424,222.424,219.924,219.924,219.924,219.924,219.924,219.924,219.924,219.924,219.924,219.924,219.924,220.608,221.291,221.975,222.658,223.342,224.025,224.709,225.392,226.076,226.76,227.443,228.127,228.81,229.494,230.177,230.861,231.544,232.228,232.911,233.595,234.279,234.962,235.646,236.329,237.013,237.696,238.38,239.063,239.747,240.43,241.114,241.797,242.481,243.165,243.848,244.532,245.215,245.899,246.582,247.266,247.949,248.633,249.316,250.0
08:30,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,247.5,247.5,247.5,245.395,245.395,245.395,245.395,245.395,243.289,241.184,241.184,239.079,236.974,236.974,236.974,236.974,236.974,236.974,236.974,236.974,236.672,236.672,236.672,236.672,236.672,235.007,235.007,235.007,232.902,230.797,228.691,226.586,224.481,222.544,220.044,220.044,220.044,220.044,220.044,220.044,220.044,220.044,220.044,220.044,220.725,221.406,222.087,222.767,223.448,224.129,224.81,225.491,226.171,226.852,227.533,228.214,228.895,229.575,230.256,230.937,231.618,232.299,232.98,233.66,234.341,235.022,235.703,236.384,237.064,237.745,238.426,239.107,239.788,240.469,241.149,241.83,242.511,243.192,243.873,244.553,245.234,245.915,246.596,247.277,247.958,248.638,249.319,250.0
08:45,250.0,250.0,250.0,247.5,245.395,245.395,243.289,243.289,243.289,243.289,243.289,241.184,241.184,241.184,241.184,241.184,241.184,241.184,241.184,241.184,241.184,241.184,241.184,239.372,239.372,237.267,237.267,237.267,237.267,235.162,235.162,235.162,235.162,235.162,233.056,233.056,230.951,228.846,226.741,224.635,222.53,220.03,220.03,220.03,220.03,220.03,220.03,220.03,220.03,220.03,220.03,220.03,220.711,221.392,222.074,222.755,223.436,224.117,224.798,225.479,226.16,226.841,227.523,228.204,228.885,229.566,230.247,230.928,231.609,232.291,232.972,233.653,234.334,235.015,235.696,236.377,237.058,237.74,238.421,239.102,239.783,240.464,241.145,241.826,242.508,243.189,243.87,244.551,245.232,245.913,246.594,247.275,247.957,248.638,249.319,250.0
09:00,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,241.762,239.657,237.551,235.446,233.341,231.236,231.236,231.236,231.236,231.236,231.236,229.13,229.13,229.13,227.025,227.025,227.025,227.025,227.025,227.025,227.025,226.713,224.607,222.502,222.502,220.002,220.002,220.002,220.002,220.002,220.002,220.002,220.002,220.002,220.002,220.684,221.366,222.047,222.729,223.411,224.093,224.774,225.456,226.138,226.82,227.502,228.183,228.865,229.547,230.229,230.91,231.592,232.274,232.956,233.637,234.319,235.001,235.683,236.365,237.046,237.728,238.41,239.092,239.773,240.455,241.137,241.819,242.501,243.182,243.864,244.546,245.228,245.909,246.591,247.273,247.955,248.636,249.318,250.0
09:15,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.699,243.386,241.281,239.176,237.07,234.965,234.965,234.965,234.965,234.965,234.965,234.965,234.965,234.965,234.965,234.965,234.965,234.965,233.028,230.923,228.818,226.713,224.607,222.502,220.002,220.002,220.002,220.002,220.002,220.002,220.002,220.002,220.002,220.002,220.684,221.366,222.047,222.729,223.411,224.093,224.774,225.456,226.138,226.82,227.502,228.183,228.865,229.547,230.229,230.91,231.592,232.274,232.956,233.637,234.319,235.001,235.683,236.365,237.046,237.728,238.41,239.092,239.773,240.455,241.137,241.819,242.501,243.182,243.864,244.546,245.228,245.909,246.591,247.273,247.955,248.636,249.318,250.0
09:30,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,245.804,245.804,245.804,245.804,243.881,243.881,243.881,243.881,243.881,241.99,239.884,237.779,235.674,233.568,231.463,231.463,231.463,231.463,231.463,229.358,227.253,227.253,227.253,227.253,227.253,227.253,227.253,226.895,224.789,222.684,220.184,220.184,220.184,220.184,220.184,220.184,220.184,220.184,220.184,220.184,220.184,220.184,220.184,220.862,221.539,222.217,222.895,223.572,224.25,224.928,225.605,226.283,226.961,227.638,228.316,228.993,229.671,230.349,231.026,231.704,232.382,233.059,233.737,234.414,235.092,235.77,236.447,237.125,237.803,238.48,239.158,239.836,240.513,241.191,241.868,242.546,243.224,243.901,244.579,245.257,245.934,246.612,247.289,247.967,248.645,249.322,250.0
09:45,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.753,243.753,243.753,243.753,243.753,243.753,243.753,243.753,241.816,239.711,237.606,235.501,233.395,231.29,231.29,231.29,231.29,229.23,229.23,229.23,227.125,227.125,227.125,227.125,227.125,227.125,227.125,226.767,224.662,222.557,220.057,220.057,220.057,220.057,220.057,220.057,220.057,220.057,220.057,220.057,220.057,220.057,220.057,220.737,221.418,222.098,222.779,223.459,224.14,224.82,225.501,226.181,226.862,227.542,228.223,228.904,229.584,230.265,230.945,231.626,232.306,232.987,233.667,234.348,235.028,235.709,236.389,237.07,237.75,238.431,239.112,239.792,240.473,241.153,241.834,242.514,243.195,243.875,244.556,245.236,245.917,246.597,247.278,247.958,248.639,249.319,250.0
10:00,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,245.804,245.804,245.804,245.804,243.72,243.72,243.72,243.72,243.72,241.784,239.678,237.573,235.468,233.362,231.257,231.257,231.257,231.257,231.257,230.945,230.945,228.839,226.734,226.734,226.734,226.734,226.734,224.629,222.524,220.024,220.024,220.024,220.024,220.024,220.024,220.024,220.024,220.024,220.024,220.024,220.024,220.024,220.024,220.705,221.386,222.068,222.749,223.43,224.111,224.793,225.474,226.155,226.836,227.518,228.199,228.88,229.562,230.243,230.924,231.605,232.287,232.968,233.649,234.331,235.012,235.693,236.374,237.056,237.737,238.418,239.1,239.781,240.462,241.143,241.825,242.506,243.187,243.868,244.55,245.231,245.912,246.594,247.275,247.956,248.637,249.319,250.0
10:15,250.0,250.0,250.0,247.5,245.804,245.804,245.804,245.804,245.804,243.699,243.699,243.699,243.699,243.699,243.669,243.669,243.669,243.669,243.669,243.357,241.251,239.146,237.041,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,234.935,232.999,230.893,228.788,226.683,224.578,222.472,219.972,220.655,221.337,222.02,222.702,223.385,224.067,224.749,225.432,226.114,226.797,227.479,228.162,228.844,229.527,230.209,230.891,231.574,232.256,232.939,233.621,234.304,234.986,235.669,236.351,237.033,237.716,238.398,239.081,239.763,240.446,241.128,241.811,242.493,243.176,243.858,244.54,245.223,245.905,246.588,247.27,247.953,248.635,249.318,250.0
