Time_Period,Time_Start_Label,Time_End_Label,MCS_1_Location,MCS_1_Location_Type
1,08:00,08:15,0,Travel
2,08:15,08:30,0,Travel
3,08:30,08:45,2,Construction
4,08:45,09:00,2,Construction
5,09:00,09:15,2,Construction
6,09:15,09:30,2,Construction
7,09:30,09:45,2,Construction
8,09:45,10:00,2,Construction
9,10:00,10:15,2,Construction
10,10:15,10:30,2,Construction
11,10:30,10:45,2,Construction
12,10:45,11:00,2,Construction
13,11:00,11:15,2,Construction
14,11:15,11:30,2,Construction
15,11:30,11:45,2,Construction
16,11:45,12:00,2,Construction
17,12:00,12:15,2,Construction
18,12:15,12:30,2,Construction
19,12:30,12:45,2,Construction
20,12:45,13:00,0,Travel
21,13:00,13:15,0,Travel
22,13:15,13:30,3,Construction
23,13:30,13:45,3,Construction
24,13:45,14:00,3,Construction
25,14:00,14:15,3,Construction
26,14:15,14:30,3,Construction
27,14:30,14:45,3,Construction
28,14:45,15:00,3,Construction
29,15:00,15:15,3,Construction
30,15:15,15:30,3,Construction
31,15:30,15:45,3,Construction
32,15:45,16:00,3,Construction
33,16:00,16:15,3,Construction
34,16:15,16:30,3,Construction
35,16:30,16:45,3,Construction
36,16:45,17:00,3,Construction
37,17:00,17:15,0,Travel
38,17:15,17:30,0,Travel
39,17:30,17:45,0,Travel
40,17:45,18:00,1,Grid
