Time_Period,Time_Start_Label,Time_End_Label,Charging_Power_kW,Discharging_Power_kW,Net_Power_kW
1,08:00,08:15,4.786814219857525e-13,0.0,4.786814219857525e-13
2,08:15,08:30,0.0,0.0,0.0
3,08:30,08:45,0.0,34.41963934717951,-34.41963934717951
4,08:45,09:00,0.0,45.0,-45.0
5,09:00,09:15,0.0,0.0,0.0
6,09:15,09:30,0.0,0.0,0.0
7,09:30,09:45,0.0,30.0,-30.0
8,09:45,10:00,0.0,17.484200654400894,-17.484200654400894
9,10:00,10:15,0.0,0.0,0.0
10,10:15,10:30,0.0,0.0,0.0
11,10:30,10:45,0.0,0.09871260031886778,-0.09871260031886778
12,10:45,11:00,0.0,0.0,0.0
13,11:00,11:15,0.0,0.0,0.0
14,11:15,11:30,2.5010342101200114,0.0,2.5010342101200114
15,11:30,11:45,2.5010342101200114,0.0,2.5010342101200114
16,11:45,12:00,2.501034210120012,0.0,2.501034210120012
17,12:00,12:15,2.5010342101200127,0.0,2.5010342101200127
18,12:15,12:30,2.501034210121074,0.0,2.501034210121074
19,12:30,12:45,2.501034210058606,0.0,2.501034210058606
20,12:45,13:00,2.501034210121074,0.0,2.501034210121074
21,13:00,13:15,2.501034210121074,0.0,2.501034210121074
22,13:15,13:30,2.501034210121074,0.0,2.501034210121074
23,13:30,13:45,2.501034210121074,0.0,2.501034210121074
24,13:45,14:00,2.501034210121074,0.0,2.501034210121074
25,14:00,14:15,2.5010342101210736,0.0,2.5010342101210736
26,14:15,14:30,2.501034210121074,0.0,2.501034210121074
27,14:30,14:45,2.501034210121074,0.0,2.501034210121074
28,14:45,15:00,2.501034210121074,0.0,2.501034210121074
29,15:00,15:15,2.5010342101210146,0.0,2.5010342101210146
30,15:15,15:30,2.5010342101210927,0.0,2.5010342101210927
31,15:30,15:45,2.501034210121074,0.0,2.501034210121074
32,15:45,16:00,2.501034210121074,0.0,2.501034210121074
33,16:00,16:15,0.0,0.0,0.0
34,16:15,16:30,0.0,0.0,0.0
35,16:30,16:45,-0.0,0.0,-0.0
36,16:45,17:00,-0.0,0.0,-0.0
37,17:00,17:15,0.0,0.0,0.0
38,17:15,17:30,0.0,0.0,0.0
39,17:30,17:45,0.0,0.0,0.0
40,17:45,18:00,0.0,0.0,0.0
41,18:00,18:15,0.0,0.0,0.0
42,18:15,18:30,0.0,0.0,0.0
43,18:30,18:45,0.0,0.0,0.0
44,18:45,19:00,0.0,0.0,0.0
45,19:00,19:15,0.0,0.0,0.0
46,19:15,19:30,0.0,0.0,0.0
47,19:30,19:45,0.0,0.0,0.0
48,19:45,20:00,0.0,0.0,0.0
49,20:00,20:15,0.0,0.0,0.0
50,20:15,20:30,0.0,0.0,0.0
51,20:30,20:45,0.0,0.0,0.0
52,20:45,21:00,0.0,0.0,0.0
53,21:00,21:15,2.5010342101210927,0.0,2.5010342101210927
54,21:15,21:30,2.5010342101210927,0.0,2.5010342101210927
55,21:30,21:45,2.5010342101210927,0.0,2.5010342101210927
56,21:45,22:00,2.5010342101210927,0.0,2.5010342101210927
57,22:00,22:15,2.5010342101210927,0.0,2.5010342101210927
58,22:15,22:30,2.5010342101210927,0.0,2.5010342101210927
59,22:30,22:45,2.5010342101210927,0.0,2.5010342101210927
60,22:45,23:00,2.5010342101210927,0.0,2.5010342101210927
61,23:00,23:15,2.5010342101210927,0.0,2.5010342101210927
62,23:15,23:30,2.5010342101210927,0.0,2.5010342101210927
63,23:30,23:45,2.5010342101210927,0.0,2.5010342101210927
64,23:45,00:00,2.5010342101210927,0.0,2.5010342101210927
65,00:00,00:15,2.5010342101210927,0.0,2.5010342101210927
66,00:15,00:30,2.5010342101210927,0.0,2.5010342101210927
67,00:30,00:45,2.5010342101210927,0.0,2.5010342101210927
68,00:45,01:00,2.5010342101210927,0.0,2.5010342101210927
69,01:00,01:15,2.5010342101210927,0.0,2.5010342101210927
70,01:15,01:30,2.5010342101210927,0.0,2.5010342101210927
71,01:30,01:45,2.5010342101210927,0.0,2.5010342101210927
72,01:45,02:00,2.5010342101210927,0.0,2.5010342101210927
73,02:00,02:15,2.5010342101210927,0.0,2.5010342101210927
74,02:15,02:30,2.5010342101210927,0.0,2.5010342101210927
75,02:30,02:45,2.5010342101210927,0.0,2.5010342101210927
76,02:45,03:00,2.5010342101210927,0.0,2.5010342101210927
77,03:00,03:15,2.5010342101210927,0.0,2.5010342101210927
78,03:15,03:30,2.5010342101210927,0.0,2.5010342101210927
79,03:30,03:45,2.5010342101210927,0.0,2.5010342101210927
80,03:45,04:00,2.5010342101210927,0.0,2.5010342101210927
81,04:00,04:15,2.5010342101210927,0.0,2.5010342101210927
82,04:15,04:30,2.5010342101210927,0.0,2.5010342101210927
83,04:30,04:45,2.5010342101210927,0.0,2.5010342101210927
84,04:45,05:00,2.5010342101210927,0.0,2.5010342101210927
85,05:00,05:15,2.5010342101210927,0.0,2.5010342101210927
86,05:15,05:30,2.5010342101210927,0.0,2.5010342101210927
87,05:30,05:45,2.5010342101210927,0.0,2.5010342101210927
88,05:45,06:00,2.5010342101210963,0.0,2.5010342101210963
89,06:00,06:15,2.5010342101210963,0.0,2.5010342101210963
90,06:15,06:30,2.5010342101210976,0.0,2.5010342101210976
91,06:30,06:45,2.5010342101210963,0.0,2.5010342101210963
92,06:45,07:00,2.501034210121098,0.0,2.501034210121098
93,07:00,07:15,2.5010342101210976,0.0,2.5010342101210976
94,07:15,07:30,2.501034210121098,0.0,2.501034210121098
95,07:30,07:45,2.5010342101210976,0.0,2.5010342101210976
96,07:45,08:00,2.501034210121074,0.0,2.501034210121074
