step,clock,status,objective,gap_percent,solve_time_s
1,08:00,OPTIMAL,52.500000000000014,0.0,0.7188279628753662
2,08:15,OPTIMAL,45.0,0.0,0.5856020450592041
3,08:30,OPTIMAL,37.5,0.0,0.5825967788696289
4,08:45,OPTIMAL,37.5,0.0,0.5065858364105225
5,09:00,OPTIMAL,37.5,0.0,0.5086719989776611
6,09:15,OPTIMAL,37.5,0.0,0.5156891345977783
7,09:30,OPTIMAL,37.5,0.0,0.44670701026916504
8,09:45,OPTIMAL,37.5,0.0,0.4830169677734375
9,10:00,OPTIMAL,37.5,0.0,0.48268985748291016
10,10:15,OPTIMAL,37.5,0.0,0.46602916717529297
11,10:30,OPTIMAL,37.5,0.0,0.3759119510650635
12,10:45,OPTIMAL,37.5,0.0,0.35959601402282715
13,11:00,OPTIMAL,37.5,0.0,0.2367870807647705
14,11:15,OPTIMAL,37.5,0.0,0.22821307182312012
15,11:30,OPTIMAL,37.5,0.0,0.2698490619659424
16,11:45,OPTIMAL,37.5,0.0,0.34850192070007324
17,12:00,OPTIMAL,37.5,0.0,0.06429123878479004
18,12:15,OPTIMAL,37.5,0.0,0.08367371559143066
19,12:30,OPTIMAL,37.5,0.0,0.039565086364746094
20,12:45,OPTIMAL,30.0,0.0,0.0414578914642334
21,13:00,OPTIMAL,22.5,0.0,0.04158186912536621
22,13:15,OPTIMAL,22.5,0.0,0.0435941219329834
23,13:30,OPTIMAL,22.5,0.0,0.036470890045166016
24,13:45,OPTIMAL,22.5,0.0,0.0323638916015625
25,14:00,OPTIMAL,22.5,0.0,0.05143404006958008
26,14:15,OPTIMAL,22.5,0.0,0.029519081115722656
27,14:30,OPTIMAL,22.5,0.0,0.026347875595092773
28,14:45,OPTIMAL,22.5,0.0,0.024710893630981445
29,15:00,OPTIMAL,22.5,0.0,0.016244173049926758
30,15:15,OPTIMAL,22.5,1.4210854715202004e-13,0.014899969100952148
31,15:30,OPTIMAL,22.5,0.0,0.015034198760986328
32,15:45,OPTIMAL,22.5,0.0,0.013476133346557617
33,16:00,OPTIMAL,22.5,0.0,0.009350061416625977
34,16:15,OPTIMAL,22.5,0.0,0.010087013244628906
35,16:30,OPTIMAL,22.5,0.0,0.0028200149536132812
36,16:45,OPTIMAL,22.5,0.0,0.0018608570098876953
37,17:00,OPTIMAL,22.5,0.0,0.0011799335479736328
38,17:15,OPTIMAL,15.0,0.0,0.0007529258728027344
39,17:30,OPTIMAL,7.5,0.0,0.0005619525909423828
40,17:45,OPTIMAL,0.0,0.0,0.0004429817199707031
