k,clock,price,co2,grid_kW,dch_kW,work_kW,soe_mcs,soe_cev1,soe_cev2,mcs_node,est_dig,est_load,est_trv,est_idle,unc_dig,unc_load,unc_trv,unc_idle,n_obs
1,08:00,0.18,0.375,0.0,0.0,10.4,249.5,70.7,46.7,0,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,2
2,08:15,0.18,0.3833355349529403,0.0,0.0,10.4,249.0,69.4,45.400000000000006,0,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,4
3,08:30,0.18,0.3913142143513081,0.0,0.0,10.4,249.0,68.10000000000001,44.10000000000001,2,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,6
4,08:45,0.18,0.3989018722650103,0.0,0.0,10.4,249.0,66.80000000000001,42.80000000000001,2,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,8
5,09:00,0.18,0.4060660171779821,0.0,0.0,10.0,249.0,65.55000000000001,41.55000000000001,2,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,10
6,09:15,0.18,0.4127759711218466,0.0,0.0,8.0,249.0,64.25000000000001,40.85000000000001,2,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,12
7,09:30,0.18,0.41900300104368526,0.0,0.0,3.4,249.0,64.10000000000001,40.150000000000006,2,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,14
8,09:45,0.18,0.42472044184538177,0.0,0.0,5.6,249.0,63.400000000000006,39.45,2,5.164853155659729,2.839759437438942,4.951802115820412,0.5691720037614716,0.11112567555102607,0.1650360177254178,0.2480516891495117,0.2312028444115837,16
9,10:00,0.18,0.4299038105676658,0.0,0.0,8.0,249.0,62.10000000000001,38.75,2,5.164853155659729,2.839759437438942,4.951802115820412,0.5691720037614716,0.11112567555102607,0.1650360177254178,0.2480516891495117,0.2312028444115837,18
10,10:15,0.18,0.4345309112299032,0.0,0.0,3.4,249.0,61.400000000000006,38.6,2,5.164853155659729,2.839759437438942,4.951802115820412,0.5691720037614716,0.11112567555102607,0.1650360177254178,0.2480516891495117,0.2312028444115837,20
11,10:30,0.18,0.438581929876693,0.0,0.0,10.0,249.0,60.150000000000006,37.35,2,5.164853155659729,2.839759437438942,4.951802115820412,0.5691720037614716,0.11112567555102607,0.1650360177254178,0.2480516891495117,0.2312028444115837,22
12,10:45,0.18,0.4420395194242658,0.0,0.0,10.4,249.0,58.85000000000001,36.050000000000004,2,5.164853155659729,2.839759437438942,4.951802115820412,0.5691720037614716,0.11112567555102607,0.1650360177254178,0.2480516891495117,0.2312028444115837,24
13,11:00,0.18,0.44488887394336024,0.0,0.0,10.4,249.0,57.55000000000001,34.75000000000001,2,5.164853155659729,2.839759437438942,4.951802115820412,0.5691720037614716,0.11112567555102607,0.1650360177254178,0.2480516891495117,0.2312028444115837,26
14,11:15,0.18,0.4471177920604845,0.0,0.0,5.8,249.0,56.250000000000014,34.60000000000001,2,5.164853155659729,2.839759437438942,4.951802115820412,0.5691720037614716,0.11112567555102607,0.1650360177254178,0.2480516891495117,0.2312028444115837,28
15,11:30,0.18,0.44871672920607153,0.0,0.0,5.8,249.0,54.95000000000002,34.45000000000001,2,5.164853155659729,2.839759437438942,4.951802115820412,0.5691720037614716,0.11112567555102607,0.1650360177254178,0.2480516891495117,0.2312028444115837,30
16,11:45,0.18,0.4496788384857905,0.0,0.0,5.6,249.0,53.70000000000002,34.30000000000001,2,5.190598141212672,2.7821859753322555,4.940057641152988,0.5064578803910528,0.07494279948655098,0.12411216241587426,0.1345621459566751,0.12152392294792022,32
17,12:00,0.18,0.44999999999999996,0.0,45.0,1.2,237.1578947368421,64.80000000000001,34.15000000000001,2,5.190598141212672,2.7821859753322555,4.940057641152988,0.5064578803910528,0.07494279948655098,0.12411216241587426,0.1345621459566751,0.12152392294792022,34
18,12:15,0.18,0.4496788384857905,0.0,45.0,1.2,225.31578947368422,75.9,34.000000000000014,2,5.190598141212672,2.7821859753322555,4.940057641152988,0.5064578803910528,0.07494279948655098,0.12411216241587426,0.1345621459566751,0.12152392294792022,36
