replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45
08:00,46.85,45.7,44.55,43.4,43.275,42.15,41.0,39.85,39.025,38.9,38.075,36.95,36.125,35.3,35.175,35.05,34.925,34.8,34.675,34.55,34.425,34.3,34.175,41.55,48.925,56.3,56.175,60.0,60.0,60.0,59.875,60.0,60.0,60.0,59.875,59.75,59.625,59.5,59.375,59.25
08:15,46.85,45.55,45.425,44.275,43.125,42.0,40.85,40.725,39.575,38.75,37.925,36.8,36.675,35.85,35.025,34.9,34.775,34.65,35.525,42.9,42.775,42.65,42.525,42.4,42.275,42.15,42.025,41.9,41.775,41.65,41.525,41.4,41.275,48.65,48.525,48.4,48.275,48.15,48.025,47.9
08:30,46.85,45.55,44.25,43.1,42.975,41.85,40.7,39.55,38.725,38.6,37.775,36.65,36.525,36.4,36.275,35.45,42.825,43.85,51.225,51.1,50.975,50.85,50.725,50.6,50.475,50.35,50.225,50.1,49.975,49.85,49.725,49.6,49.475,49.35,49.225,48.4,48.275,48.15,48.025,47.9
08:45,46.85,45.55,44.25,42.95,42.825,41.7,40.55,39.4,38.575,38.45,37.625,36.5,35.675,34.85,34.725,34.6,34.475,34.35,34.225,34.1,35.275,42.65,50.025,49.9,49.775,49.65,49.525,49.4,49.275,49.15,49.025,48.9,48.775,48.65,48.525,48.4,48.275,48.15,48.025,47.9
09:00,46.85,45.55,44.25,42.95,42.675,41.55,40.4,39.575,38.425,38.3,37.475,36.35,35.525,34.7,34.575,34.45,34.325,34.2,34.075,41.45,48.825,56.2,56.075,55.95,55.825,55.7,55.575,55.45,55.325,55.2,55.075,54.95,54.825,54.7,54.575,54.45,54.325,54.2,54.075,53.95
09:15,46.85,45.55,44.25,42.95,42.675,41.525,40.7,39.55,38.725,38.6,37.45,37.325,37.2,36.075,35.25,34.425,34.3,37.875,45.25,52.625,60.0,60.0,60.0,59.875,59.75,59.625,59.5,59.375,59.25,59.125,59.0,58.875,58.75,58.625,58.5,58.375,58.25,58.125,58.0,57.875
09:30,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.425,38.275,38.15,37.325,36.2,35.375,34.55,34.425,34.3,34.175,34.05,33.925,33.8,33.675,33.55,33.425,33.3,33.175,33.05,32.925,32.8,32.675,34.15,34.025,41.4,48.775,48.65,48.525,48.4,48.275,48.15,48.025,47.9
09:45,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.4,38.275,37.45,36.325,35.5,35.375,34.55,34.425,34.3,34.175,34.05,33.925,41.3,48.675,56.05,55.925,55.8,55.675,55.55,55.425,55.3,55.175,55.05,54.925,54.8,54.675,54.55,54.425,54.3,54.175,54.05,53.925
10:00,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.435,37.606,36.293,35.017,34.882,34.052,33.917,33.782,33.647,33.512,33.377,33.242,33.107,40.471,45.27,52.635,60.0,59.865,59.73,59.595,59.459,59.324,60.0,59.865,60.0,59.865,59.73,59.595,59.459,59.324,59.189
10:15,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,38.43,37.6,36.287,35.012,34.182,34.047,33.912,33.777,33.642,33.506,33.371,33.236,33.101,32.966,40.331,47.696,49.657,49.522,49.386,49.251,49.116,48.981,48.846,48.711,48.576,48.441,48.305,48.17,48.035,47.9
10:30,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.962,35.132,34.997,34.167,34.032,33.897,33.762,33.627,33.492,33.356,33.221,33.086,32.951,32.816,32.681,32.546,32.411,39.775,41.751,49.116,48.981,48.846,48.711,48.576,48.441,48.305,48.17,48.035,47.9
10:45,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.107,34.278,34.143,34.007,33.872,33.737,33.602,33.467,33.332,35.332,42.697,50.062,49.927,49.792,49.657,49.522,49.386,49.251,49.116,48.981,48.846,48.711,48.576,48.441,48.305,48.17,48.035,47.9
11:00,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.341,34.206,34.07,33.935,33.8,33.665,33.53,33.395,33.26,33.125,32.989,32.854,32.719,40.084,47.449,54.814,54.679,54.544,54.408,54.273,54.138,54.003,53.868,53.733,53.598,53.462,53.327
11:15,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.335,34.2,34.065,33.93,33.795,33.66,33.524,33.389,33.254,33.119,32.984,32.849,32.714,32.579,32.443,32.308,34.116,33.981,33.846,41.211,48.576,48.441,48.305,48.17,48.035,47.9
11:30,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.33,34.195,34.059,33.924,33.789,33.654,33.519,33.384,35.062,42.427,42.292,49.657,49.522,49.386,49.251,49.116,48.981,48.846,48.711,48.576,48.441,48.305,48.17,48.035,47.9
11:45,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.18,34.045,33.909,33.774,33.639,33.504,33.369,33.234,33.099,32.964,32.828,32.693,32.558,39.923,47.288,48.981,48.846,48.711,48.576,48.441,48.305,48.17,48.035,47.9
12:00,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.985,33.828,33.671,33.513,33.356,35.574,42.917,42.76,50.102,49.945,49.788,49.63,49.473,49.316,49.159,49.001,48.844,48.687,48.529,48.372,48.215,48.057,47.9
12:15,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.835,33.678,33.521,33.363,33.206,33.049,32.891,32.734,32.577,32.42,32.262,34.473,41.816,49.159,49.001,48.844,48.687,48.529,48.372,48.215,48.057,47.9
12:30,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.685,33.528,33.371,35.574,42.917,50.26,50.102,49.945,49.788,49.63,49.473,49.316,49.159,49.001,48.844,48.687,48.529,48.372,48.215,48.057,47.9
12:45,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,33.535,33.378,35.574,42.917,42.76,50.102,49.945,49.788,49.63,49.473,49.316,49.159,49.001,48.844,48.687,48.529,48.372,48.215,48.057,47.9
13:00,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,48.385,55.728,55.571,55.413,55.256,55.099,54.941,54.784,54.627,54.47,54.312,54.155,53.998,53.84,53.683,53.526,53.368,53.211,53.054
13:15,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.735,42.917,50.26,50.102,49.945,49.788,49.63,49.473,49.316,49.159,49.001,48.844,48.687,48.529,48.372,48.215,48.057,47.9
13:30,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.585,42.76,42.602,49.945,49.788,49.63,49.473,49.316,49.159,49.001,48.844,48.687,48.529,48.372,48.215,48.057,47.9
13:45,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.593,40.435,42.602,42.445,49.788,49.63,49.473,49.316,49.159,49.001,48.844,48.687,48.529,48.372,48.215,48.057,47.9
14:00,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.593,40.446,40.291,40.137,39.983,39.829,39.674,39.52,39.366,39.212,41.326,48.671,48.517,48.363,48.209,48.054,47.9
14:15,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.593,40.446,40.296,40.141,39.987,39.833,39.679,41.788,49.134,48.98,48.826,48.671,48.517,48.363,48.209,48.054,47.9
14:30,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.593,40.446,40.296,40.146,39.991,42.097,41.943,49.288,49.134,48.98,48.826,48.671,48.517,48.363,48.209,48.054,47.9
14:45,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.593,40.446,40.296,40.146,39.996,39.841,41.943,49.288,49.134,48.98,48.826,48.671,48.517,48.363,48.209,48.054,47.9
15:00,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.593,40.446,40.296,40.146,39.996,39.846,39.691,39.537,39.383,39.229,39.074,41.171,48.517,48.363,48.209,48.054,47.9
15:15,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.593,40.446,40.296,40.146,39.996,39.846,39.696,41.788,49.134,48.98,48.826,48.671,48.517,48.363,48.209,48.054,47.9
15:30,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.593,40.446,40.296,40.146,39.996,39.846,39.696,39.546,39.391,39.237,39.083,41.171,48.517,48.363,48.209,48.054,47.9
15:45,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.593,40.446,40.296,40.146,39.996,39.846,39.696,39.546,39.396,39.241,41.326,41.171,48.517,48.363,48.209,48.054,47.9
16:00,46.85,45.55,44.25,42.95,42.675,41.525,40.575,39.55,38.57,38.565,37.275,35.937,35.17,34.47,34.465,34.315,34.143,33.993,33.843,33.693,41.043,40.893,40.743,40.593,40.446,40.296,40.146,39.996,39.846,39.696,39.546,39.396,39.243,39.086,41.185,48.528,48.371,48.214,48.057,47.9
