Time_Period,Time_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg
1,D1 08:00,0.0,0.0,0.0,0.0,0.0
2,D1 08:15,0.0,0.0,0.0,0.0,0.0
3,D1 08:30,0.0,0.0,0.0,0.0,0.0
4,D1 08:45,0.0,0.0,0.0,0.0,0.0
5,D1 09:00,0.0,0.0,0.0,0.0,0.0
6,D1 09:15,0.0,0.0,0.0,0.0,0.0
7,D1 09:30,0.0,0.0,0.0,0.0,0.0
8,D1 09:45,0.0,0.0,0.0,0.0,0.0
9,D1 10:00,0.0,0.0,0.0,0.0,0.0
10,D1 10:15,0.0,0.0,0.0,0.0,0.0
11,D1 10:30,0.0,0.0,0.0,0.0,0.0
12,D1 10:45,0.0,0.0,0.0,0.0,0.0
13,D1 11:00,0.0,0.0,0.0,0.0,0.0
14,D1 11:15,0.0,0.0,0.0,0.0,0.0
15,D1 11:30,0.0,0.0,0.0,0.0,0.0
16,D1 11:45,0.0,0.0,0.0,0.0,0.0
17,D1 12:00,0.0,0.0,0.0,0.0,0.0
18,D1 12:15,0.0,0.0,0.0,0.0,0.0
19,D1 12:30,0.0,0.0,0.0,0.0,0.0
20,D1 12:45,0.0,0.0,0.0,0.0,0.0
21,D1 13:00,0.0,0.0,0.0,0.0,0.0
22,D1 13:15,0.0,0.0,0.0,0.0,0.0
23,D1 13:30,0.0,0.0,0.0,0.0,0.0
24,D1 13:45,0.0,0.0,0.0,0.0,0.0
25,D1 14:00,0.0,0.0,0.0,0.0,0.0
26,D1 14:15,0.0,0.0,0.0,0.0,0.0
27,D1 14:30,0.0,0.0,0.0,0.0,0.0
28,D1 14:45,0.0,0.0,0.0,0.0,0.0
29,D1 15:00,0.0,0.0,0.0,0.0,0.0
30,D1 15:15,0.0,0.0,0.0,0.0,0.0
31,D1 15:30,0.0,0.0,0.0,0.0,0.0
32,D1 15:45,0.0,0.0,0.0,0.0,0.0
33,D1 16:00,0.0,0.0,0.0,0.0,0.0
34,D1 16:15,0.0,0.0,0.0,0.0,0.0
35,D1 16:30,0.0,0.0,0.0,0.0,0.0
36,D1 16:45,0.0,0.0,0.0,0.0,0.0
37,D1 17:00,0.0,0.0,0.0,0.0,0.0
38,D1 17:15,0.0,0.0,0.0,0.0,0.0
39,D1 17:30,0.0,0.0,0.0,0.0,0.0
40,D1 17:45,0.0,0.0,0.0,0.0,0.0
41,D1 18:00,0.0,0.0,0.0,0.0,0.0
42,D1 18:15,0.0,0.0,0.0,0.0,0.0
43,D1 18:30,0.0,0.0,0.0,0.0,0.0
44,D1 18:45,0.0,0.0,0.0,0.0,0.0
45,D1 19:00,0.0,0.0,0.0,0.0,0.0
46,D1 19:15,-0.0,-0.0,-0.0,0.0,0.0
47,D1 19:30,-0.0,-0.0,-0.0,0.0,0.0
48,D1 19:45,-0.0,-0.0,-0.0,0.0,0.0
49,D1 20:00,-0.0,-0.0,-0.0,0.0,0.0
50,D1 20:15,-0.0,-0.0,-0.0,0.0,0.0
51,D1 20:30,-0.0,-0.0,-0.0,0.0,0.0
52,D1 20:45,0.0,0.0,0.0,0.0,0.0
53,D1 21:00,0.7254448087887237,0.2807471410012361,0.15820568436787552,0.2807471410012361,0.15820568436787552
54,D1 21:15,0.7254448087887237,0.2807471410012361,0.15892550843028574,0.5614942820024722,0.31713119279816127
55,D1 21:30,0.7254448087887237,0.2807471410012361,0.16225959981400767,0.8422414230037083,0.47939079261216894
56,D1 21:45,0.7254448087887237,0.2807471410012361,0.1721763454731069,1.1229885640049444,0.6515671380852759
57,D1 22:00,0.7254448087887237,0.2807471410012361,0.1788411955470992,1.4037357050061805,0.8304083336323751
58,D1 22:15,0.7254448087887237,0.2807471410012361,0.19351612862893,1.6844828460074166,1.023924462261305
59,D1 22:30,0.7254448087887237,0.2807471410012361,0.20407983539928953,1.9652299870086527,1.2280042976605947
60,D1 22:45,0.7254448087887237,0.2807471410012361,0.20897018725906547,2.245977128009889,1.4369744849196602
61,D1 23:00,0.7254448087887237,0.2807471410012361,0.21297324394598788,2.526724269011125,1.6499477288656481
62,D1 23:15,0.7254448087887237,0.2807471410012361,0.20857690476665608,2.8074714100123614,1.8585246336323042
63,D1 23:30,0.7254448087887237,0.2807471410012361,0.21231151350386546,3.0882185510135978,2.07083614713617
