replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45
08:00,247.5,247.5,247.5,247.5,245.395,245.395,245.395,245.395,245.395,243.289,243.289,243.289,243.289,242.62,242.62,242.62,240.514,240.514,238.409,236.304,234.199,234.063,234.063,234.063,234.063,234.063,234.063,234.063,234.063,234.063,234.063,234.063,234.063,234.063,233.235,233.235,231.298,229.192,227.087,224.982,222.877,220.771,218.271,218.271,218.271,218.271,218.271,218.271,218.271,218.271,218.271,218.271,218.992,219.714,220.435,221.156,221.877,222.598,223.319,224.04,224.761,225.482,226.204,226.925,227.646,228.367,229.088,229.809,230.53,231.251,231.972,232.693,233.415,234.136,234.857,235.578,236.299,237.02,237.741,238.462,239.183,239.905,240.626,241.347,242.068,242.789,243.51,244.231,244.952,245.673,246.394,247.116,247.837,248.558,249.279,250.0
08:15,247.5,247.5,247.5,247.5,246.789,246.789,246.789,246.789,246.789,244.684,244.684,244.684,244.684,244.684,244.684,244.684,244.684,244.684,242.747,240.642,238.537,236.432,234.326,232.221,232.221,232.221,232.221,232.221,232.221,232.221,232.221,232.221,232.221,232.221,232.221,232.221,230.197,228.092,225.986,223.881,221.776,219.276,219.276,219.276,219.276,219.276,219.276,219.276,219.276,219.276,219.276,219.276,219.974,220.672,221.371,222.069,222.767,223.465,224.164,224.862,225.56,226.259,226.957,227.655,228.353,229.052,229.75,230.448,231.147,231.845,232.543,233.241,233.94,234.638,235.336,236.034,236.733,237.431,238.129,238.828,239.526,240.224,240.922,241.621,242.319,243.017,243.716,244.414,245.112,245.81,246.509,247.207,247.905,248.603,249.302,250.0
08:30,247.5,247.5,247.5,247.5,245.395,245.395,245.395,245.395,245.395,243.289,243.289,243.289,241.184,241.184,241.184,241.184,241.184,241.184,241.184,240.276,238.171,236.066,233.961,231.855,231.855,231.855,231.855,231.855,229.75,229.75,229.75,229.75,229.75,229.75,229.75,229.75,229.75,228.357,226.251,224.146,222.041,219.541,219.541,219.541,219.541,219.541,219.541,219.541,219.541,219.541,219.541,219.541,220.233,220.925,221.618,222.31,223.002,223.694,224.387,225.079,225.771,226.463,227.156,227.848,228.54,229.232,229.925,230.617,231.309,232.001,232.694,233.386,234.078,234.77,235.463,236.155,236.847,237.539,238.232,238.924,239.616,240.308,241.001,241.693,242.385,243.077,243.77,244.462,245.154,245.846,246.539,247.231,247.923,248.615,249.308,250.0
08:45,247.5,247.5,247.5,247.5,246.31,246.31,246.31,246.31,246.31,244.205,244.205,244.205,244.205,244.205,244.205,244.205,244.205,244.205,242.268,240.162,238.057,235.952,233.847,231.741,231.741,231.741,231.741,231.741,231.741,231.741,231.741,231.741,230.257,228.152,228.152,228.152,226.047,223.941,221.836,219.336,219.336,219.336,219.336,219.336,219.336,219.336,219.336,219.336,219.336,219.336,219.336,219.336,220.033,220.73,221.427,222.124,222.821,223.518,224.214,224.911,225.608,226.305,227.002,227.699,228.396,229.093,229.79,230.487,231.184,231.88,232.577,233.274,233.971,234.668,235.365,236.062,236.759,237.456,238.153,238.849,239.546,240.243,240.94,241.637,242.334,243.031,243.728,244.425,245.122,245.819,246.515,247.212,247.909,248.606,249.303,250.0
09:00,247.5,247.5,247.5,247.5,246.394,246.394,246.394,246.394,246.394,244.289,244.289,244.289,244.289,244.289,242.954,242.954,242.954,242.954,242.954,242.954,242.7,240.594,238.489,236.384,236.384,236.384,236.384,236.384,236.384,236.384,236.384,234.278,232.173,232.173,232.173,232.173,230.068,227.963,225.857,223.752,221.647,219.147,219.147,219.147,219.147,219.147,219.147,219.147,219.147,219.147,219.147,219.147,219.848,220.549,221.25,221.952,222.653,223.354,224.055,224.757,225.458,226.159,226.86,227.561,228.263,228.964,229.665,230.366,231.067,231.769,232.47,233.171,233.872,234.573,235.275,235.976,236.677,237.378,238.079,238.781,239.482,240.183,240.884,241.586,242.287,242.988,243.689,244.39,245.092,245.793,246.494,247.195,247.896,248.598,249.299,250.0
09:15,247.5,247.5,247.5,247.5,246.394,246.394,246.394,246.394,246.394,246.394,246.394,246.394,244.388,244.388,244.388,244.388,244.388,244.388,242.451,240.346,238.24,236.135,234.03,231.925,231.925,231.925,231.925,231.925,230.49,230.49,230.49,230.49,228.385,226.28,226.28,226.28,224.174,222.069,219.569,219.569,219.569,219.569,219.569,219.569,219.569,219.569,219.569,219.569,219.569,219.569,219.569,219.569,220.261,220.952,221.644,222.336,223.027,223.719,224.41,225.102,225.794,226.485,227.177,227.868,228.56,229.252,229.943,230.635,231.327,232.018,232.71,233.401,234.093,234.785,235.476,236.168,236.859,237.551,238.243,238.934,239.626,240.317,241.009,241.701,242.392,243.084,243.776,244.467,245.159,245.85,246.542,247.234,247.925,248.617,249.308,250.0
09:30,247.5,247.5,247.5,247.5,246.394,246.394,246.394,246.394,246.394,245.384,245.384,245.384,245.384,245.384,244.099,244.099,241.994,239.889,238.239,238.239,238.239,238.239,238.239,238.239,238.239,238.239,238.239,238.239,236.133,236.133,236.133,236.133,236.133,234.028,234.028,231.923,229.818,227.712,225.607,223.502,222.921,220.421,220.421,220.421,220.421,220.421,220.421,220.421,220.421,220.421,220.421,220.421,221.093,221.765,222.437,223.11,223.782,224.454,225.126,225.799,226.471,227.143,227.815,228.488,229.16,229.832,230.504,231.177,231.849,232.521,233.193,233.866,234.538,235.21,235.883,236.555,237.227,237.899,238.572,239.244,239.916,240.588,241.261,241.933,242.605,243.277,243.95,244.622,245.294,245.966,246.639,247.311,247.983,248.655,249.328,250.0
09:45,247.5,247.5,247.5,247.5,246.394,246.394,246.394,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,243.184,241.078,238.973,238.973,238.973,238.973,238.973,236.868,236.868,236.868,234.763,234.763,234.763,234.763,232.826,230.721,228.615,226.51,224.405,222.3,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,220.486,221.172,221.859,222.545,223.231,223.918,224.604,225.291,225.977,226.663,227.35,228.036,228.722,229.409,230.095,230.782,231.468,232.154,232.841,233.527,234.213,234.9,235.586,236.273,236.959,237.645,238.332,239.018,239.704,240.391,241.077,241.764,242.45,243.136,243.823,244.509,245.195,245.882,246.568,247.255,247.941,248.627,249.314,250.0
10:00,247.5,247.5,247.5,247.5,246.394,246.394,246.394,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,244.289,243.291,241.186,239.08,236.975,234.87,232.765,232.765,232.765,232.765,232.765,230.659,230.659,230.659,230.659,230.659,229.007,229.007,229.007,226.902,224.797,222.692,220.192,220.192,220.192,220.192,220.192,220.192,220.192,220.192,220.192,220.192,220.192,220.192,220.192,220.869,221.547,222.224,222.902,223.579,224.256,224.934,225.611,226.289,226.966,227.644,228.321,228.999,229.676,230.354,231.031,231.709,232.386,233.063,233.741,234.418,235.096,235.773,236.451,237.128,237.806,238.483,239.161,239.838,240.516,241.193,241.87,242.548,243.225,243.903,244.58,245.258,245.935,246.613,247.29,247.968,248.645,249.323,250.0
10:15,247.5,247.5,247.5,247.5,246.394,246.394,246.394,244.289,244.289,244.289,244.289,244.097,244.097,244.097,244.097,244.097,244.097,244.097,242.16,240.055,237.949,235.844,233.739,231.634,231.634,231.634,231.634,231.634,229.528,229.528,229.528,227.423,227.423,227.423,227.423,227.423,227.423,227.423,227.423,227.423,226.426,224.321,222.216,219.716,219.716,219.716,219.716,219.716,219.716,219.716,219.716,219.716,220.404,221.092,221.78,222.469,223.157,223.845,224.534,225.222,225.91,226.598,227.287,227.975,228.663,229.352,230.04,230.728,231.416,232.105,232.793,233.481,234.17,234.858,235.546,236.234,236.923,237.611,238.299,238.988,239.676,240.364,241.052,241.741,242.429,243.117,243.805,244.494,245.182,245.87,246.559,247.247,247.935,248.623,249.312,250.0
