Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
1,1,08:00,08:15,0.0,0.0,-5.327137841959484e-9,250.0,250.00000000133178,4.761923324334817,14.8,13.609519168916297
2,2,08:15,08:30,0.0,0.0,1.1368683772161603e-13,250.00000000133178,250.00000000133176,4.995689118737115,13.609519168916297,12.360596889232017
3,3,08:30,08:45,0.0,0.0,-1.1368683772161603e-13,250.00000000133176,250.00000000133178,4.6293420647438515,12.360596889232017,11.203261373046054
4,4,08:45,09:00,0.0,0.0,1.1368683772161603e-13,250.00000000133178,250.00000000133176,4.505805427397838,11.203261373046054,10.076810016196594
5,5,09:00,09:15,-8.663461059654765e-9,-1.3801465298968196e-9,-1.4504780306062434e-9,250.00000000133176,250.0,0.0,10.076810016196594,10.076810015851558
6,6,09:15,09:30,0.0,0.0,10.0,250.0,247.5,5.165138534344186,10.076810015851558,8.785525382265511
7,7,09:30,09:45,-0.0,0.0,6.777668204449583e-9,247.5,247.49999999830558,4.318839009829549,8.785525382265511,7.705815629808124
8,8,09:45,10:00,-0.0,6.756699996569226,5.062616992290714e-14,247.49999999830558,245.72192105183998,0.0,7.705815629808124,9.394990628950431
9,9,10:00,10:15,-4.645173135031655e-13,0.0,0.0,245.72192105183998,245.72192105183987,5.014429434394708,9.394990628950431,8.141383270351755
10,10,10:15,10:30,0.0,2.1600499167107047e-13,0.0,245.72192105183987,245.72192105183981,4.969207036337156,8.141383270351755,6.899081511267519
11,11,10:30,10:45,0.0,0.0,0.0,245.72192105183981,245.72192105183981,4.777013406082901,6.899081511267519,5.704828159746794
12,12,10:45,11:00,0.0,-3.1885605267234496e-13,-5.422562983432346e-15,245.72192105183981,245.7219210518399,4.641830766040824,5.704828159746794,4.544370468236508
