Time_Period,MCS_1_A0_kWh,MCS_1_A1R_kWh
1,250.0,250.0
2,247.5,247.5
3,247.5,247.5
4,247.5,247.5
5,247.5,247.5
6,245.39473684210526,246.57013919250443
7,245.39473684210526,246.57013919250446
8,243.28947368421055,246.57013919250446
9,243.28947368421055,244.93020607634577
10,243.28947368421055,244.93020607634577
11,243.28947368421052,242.94032629527715
12,243.28947368421052,242.94032629527715
13,242.1022894736842,242.94032629527715
14,239.99702631578947,242.94032629527715
15,239.99702631578947,240.90221309689107
16,239.99702631578947,240.90221309689107
17,239.99702631578947,240.90221309689107
18,239.99702631578947,240.90221309689107
19,239.99702631578947,240.90221309689107
20,239.99702631578947,240.90221309689107
21,239.99702631578947,240.90221309689107
22,239.15492105263158,240.37928249315954
23,237.04965789473684,238.2740193352648
24,234.9443947368421,236.16875617737006
25,232.83913157894736,234.06349301947532
26,232.83913157894736,234.06349301947532
27,232.83913157894736,234.06349301947532
28,232.83913157894736,234.06349301947532
29,232.83913157894736,234.06349301947532
30,230.8415789473684,231.95822986158058
31,230.8415789473684,231.95822986158058
32,230.8415789473684,231.95822986158058
33,230.8415789473684,231.95822986158058
34,230.8415789473684,230.71981449242097
35,228.73631578947365,230.71981449242097
36,228.73631578947368,230.66370268772184
37,228.73631578947368,230.66370268772184
38,226.63105263157894,230.66370268772184
39,224.52578947368423,229.82159742456392
40,222.4205263157895,227.71633426666918
41,219.9205263157895,227.71633426666918
42,219.9205263157895,225.61107110877444
43,219.9205263157895,225.61107110877444
44,219.9205263157895,223.50580795087973
45,219.9205263157895,221.0058079508797
46,219.9205263157895,221.0058079508797
47,219.9205263157895,221.0058079508797
48,219.9205263157895,221.0058079508797
49,219.9205263157895,221.0058079508797
50,219.92052631578946,221.0058079508797
51,219.92052631578946,221.0058079508797
52,219.92052631578946,221.0058079508797
53,219.9205263157895,221.0058079508797
54,220.60415071770333,221.66476686108697
55,221.2877751196172,222.32372577129425
56,221.97139952153108,222.98268468150152
57,222.65502392344496,223.64164359170883
58,223.33864832535883,224.30060250191613
59,224.0222727272727,224.95956141212343
60,224.70589712918658,225.61852032233074
61,225.38952153110046,226.27747923253804
62,226.07314593301433,226.93643814274535
63,226.7567703349282,227.59539705295265
64,227.44039473684208,228.25435596315995
65,228.12401913875595,228.9133148733674
66,228.80764354066983,229.57227378357484
67,229.4912679425837,230.2312326937823
68,230.17489234449758,230.89019160398973
69,230.85851674641145,231.54915051419718
70,231.54214114832533,232.20810942440463
71,232.22576555023926,232.86706833461207
72,232.9093899521531,233.52602724481952
73,233.59301435406698,234.18498615502696
74,234.27663875598085,234.8439450652344
75,234.96026315789473,235.50290397544185
76,235.6438875598086,236.1618628856493
77,236.32751196172248,236.82082179585674
78,237.01113636363635,237.4797807060642
79,237.69476076555023,238.13873961627164
80,238.3783851674641,238.79769852647908
81,239.06200956937798,239.45665743668653
82,239.74563397129185,240.11561634689397
83,240.42925837320573,240.77457525710142
84,241.1128827751196,241.43353416730886
85,241.79650717703348,242.0924930775163
86,242.48013157894735,242.75145198772375
87,243.16375598086123,243.41041089793117
88,243.8473803827751,244.0693698081386
89,244.53100478468897,244.728328718346
90,245.21462918660285,245.3872876285481
91,245.89825358851672,246.04624653875553
92,246.58187799043057,246.70520544896294
93,247.26550239234444,247.36416435917036
94,247.94912679425835,248.02312326937772
95,248.63275119617222,248.68208217958517
96,249.3163755980861,249.34104108979255
97,250.0,250.0
