Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A1R_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.679845993724483,Digging,Traveling,0.0,0.0,4.679845993724483,Digging,Traveling,0.0
2,08:15,0.0,0.0,5.5824386527306356,Digging,Idle,0.0,0.0,5.5824386527306356,Digging,Idle,0.0
3,08:30,0.0,0.0,4.167936747401412,Digging,Idle,0.0,0.0,4.167936747401412,Digging,Idle,0.0
4,08:45,0.0,0.0,3.6909496746266566,Digging,Idle,0.0,0.0,3.6909496746266566,Digging,Idle,0.0
5,09:00,8.0,2.0,0.0,Charging,Serving CEV,3.5334710684831947,0.8833677671207987,0.0,Charging,Serving CEV,-1.1166322328792013
6,09:15,0.0,2.0,6.421291841929734,Traveling,Idle,0.0,0.8833677671207987,6.421291841929734,Traveling,Idle,-1.1166322328792013
7,09:30,8.0,4.0,0.0,Charging,Serving CEV,0.0,0.8833677671207987,2.9690539994732656,Digging,Idle,-3.1166322328792013
8,09:45,0.0,4.0,2.9690539994732656,Digging,Idle,6.231745841403001,2.441304227471549,0.0,Charging,Serving CEV,-1.5586957725284512
9,10:00,0.0,4.0,5.654796849460183,Digging,Idle,0.0,2.441304227471549,2.720143168060706,Loading/Swinging,Idle,-1.5586957725284512
10,10:15,0.0,4.0,5.4801887353271335,Digging,Idle,7.561543168060706,4.331690019486725,0.0,Charging,Serving CEV,0.33169001948672516
11,10:30,0.0,4.0,4.738110279329003,Digging,Idle,0.0,4.331690019486725,5.654796849460183,Digging,Idle,0.33169001948672516
12,10:45,4.511300000000013,5.127825000000003,0.0,Charging,Serving CEV,0.0,4.331690019486725,2.9593393155052388,Loading/Swinging,Idle,-0.796134980513278
13,11:00,8.0,7.127825000000003,0.0,Charging,Serving CEV,0.0,4.331690019486725,3.840793988901714,Traveling,Idle,-2.796134980513278
14,11:15,0.0,7.127825000000003,3.840793988901714,Traveling,Idle,7.744830153867145,6.2678975579535114,0.0,Charging,Serving CEV,-0.8599274420464917
15,11:30,0.0,7.127825000000003,2.720143168060706,Loading/Swinging,Idle,0.0,6.2678975579535114,5.4801887353271335,Digging,Idle,-0.8599274420464917
16,11:45,0.0,7.127825000000003,5.003593261134805,Digging,Idle,0.0,6.2678975579535114,2.8919475588526895,Loading/Swinging,Idle,-0.8599274420464917
17,12:00,0.0,7.127825000000003,0.0,Idle,Idle,0.0,6.2678975579535114,0.0,Idle,Idle,-0.8599274420464917
18,12:15,0.0,7.127825000000003,0.0,Idle,Idle,0.0,6.2678975579535114,0.0,Idle,Idle,-0.8599274420464917
19,12:30,0.0,7.127825000000003,0.0,Idle,Idle,0.0,6.2678975579535114,0.0,Idle,Idle,-0.8599274420464917
20,12:45,0.0,7.127825000000003,0.0,Idle,Idle,0.0,6.2678975579535114,0.0,Idle,Idle,-0.8599274420464917
21,13:00,3.1999999999999993,7.927825000000003,0.0,Charging,Serving CEV,1.9871362941798338,6.76468163149847,0.0,Charging,Serving CEV,-1.163143368501533
22,13:15,8.0,9.927825000000002,0.0,Charging,Serving CEV,8.0,8.764681631498469,0.0,Charging,Serving CEV,-1.163143368501533
23,13:30,8.0,11.927825000000002,0.0,Charging,Serving CEV,8.0,10.764681631498469,0.0,Charging,Serving CEV,-1.163143368501533
24,13:45,8.0,13.927825000000002,0.0,Charging,Serving CEV,7.999999999999986,12.764681631498465,0.0,Charging,Serving CEV,-1.1631433685015367
25,14:00,0.0,13.927825000000002,4.271408926580865,Digging,Idle,0.0,12.764681631498465,4.738110279329003,Digging,Idle,-1.1631433685015367
26,14:15,0.0,13.927825000000002,5.112601651377284,Digging,Idle,0.0,12.764681631498465,5.003593261134805,Digging,Idle,-1.1631433685015367
27,14:30,0.0,13.927825000000002,4.8696588712163855,Traveling,Idle,0.0,12.764681631498465,4.8696588712163855,Traveling,Idle,-1.1631433685015367
28,14:45,0.0,13.927825000000002,6.524473377224391,Digging,Idle,0.0,12.764681631498465,4.271408926580865,Digging,Idle,-1.1631433685015367
29,15:00,7.590700000000005,15.825500000000003,0.0,Charging,Serving CEV,8.0,14.764681631498465,0.0,Charging,Serving CEV,-1.060818368501538
30,15:15,0.0,15.825500000000003,2.9593393155052388,Loading/Swinging,Idle,0.0,14.764681631498465,5.112601651377284,Digging,Idle,-1.060818368501538
31,15:30,0.0,15.825500000000003,2.8919475588526895,Loading/Swinging,Idle,0.0,14.764681631498465,3.2363668300052373,Loading/Swinging,Idle,-1.060818368501538
32,15:45,0.0,15.825500000000003,3.2363668300052373,Loading/Swinging,Idle,0.0,14.764681631498465,4.8055385831629875,Loading/Swinging,Idle,-1.060818368501538
33,16:00,0.0,15.825500000000003,4.923324857856662,Traveling,Idle,4.705978402806568,15.941176232200107,0.0,Charging,Serving CEV,0.11567623220010326
34,16:15,8.0,17.825500000000005,0.0,Charging,Serving CEV,0.0,15.941176232200107,4.923324857856662,Traveling,Idle,-1.8843237677998985
35,16:30,0.0,17.825500000000005,4.8055385831629875,Loading/Swinging,Idle,0.213224857856666,15.994482446664273,0.0,Charging,Serving CEV,-1.831017553335732
36,16:45,0.0,17.825500000000005,3.6980773959691877,Loading/Swinging,Idle,0.0,15.994482446664273,3.6980773959691877,Loading/Swinging,Idle,-1.831017553335732
37,17:00,8.0,19.825500000000005,0.0,Charging,Serving CEV,0.0,15.994482446664273,0.0,Idle,Idle,-3.831017553335732
38,17:15,8.0,21.825500000000005,0.0,Charging,Serving CEV,3.2000000000000552,16.794482446664286,0.0,Charging,Serving CEV,-5.031017553335719
39,17:30,8.0,23.825500000000005,0.0,Charging,Serving CEV,8.0,18.794482446664286,0.0,Charging,Serving CEV,-5.031017553335719
40,17:45,0.0,23.825500000000005,0.0,Idle,Traveling,0.0,18.794482446664286,0.0,Idle,Idle,-5.031017553335719
41,18:00,0.0,23.825500000000005,0.0,Idle,Idle,8.0,20.794482446664286,0.0,Charging,Serving CEV,-3.031017553335719
42,18:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,20.794482446664286,0.0,Idle,Idle,-3.031017553335719
43,18:30,0.0,23.825500000000005,0.0,Idle,Idle,7.99999999999995,22.794482446664276,0.0,Charging,Serving CEV,-1.0310175533357295
44,18:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Traveling,-1.0310175533357295
45,19:00,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
46,19:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
47,19:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,22.794482446664276,0.0,Idle,Idle,-1.0310175533357295
