Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh
1,250.0,250.0
2,247.5,247.5
3,247.5,246.2684615805988
4,247.5,246.2684615805988
5,247.5,246.2684615805988
6,245.39473684210526,246.2684615805988
7,245.39473684210526,246.2684615805988
8,243.28947368421055,244.41579923410183
9,243.28947368421055,244.41579923410183
10,243.28947368421055,244.41579923410183
11,243.28947368421052,244.41579923410183
12,243.28947368421052,242.4170519750859
13,242.1022894736842,242.41705197508594
14,239.99702631578947,242.41705197508594
15,239.99702631578947,240.66880535483264
16,239.99702631578947,240.66880535483264
17,239.99702631578947,240.66880535483264
18,239.99702631578947,240.66880535483264
19,239.99702631578947,240.66880535483264
20,239.99702631578947,240.66880535483264
21,239.99702631578947,240.66880535483264
22,239.15492105263158,239.8934501982973
23,237.04965789473684,237.78818704040256
24,234.9443947368421,235.68292388250782
25,232.83913157894736,233.57766072461308
26,232.83913157894736,233.57766072461308
27,232.83913157894736,233.57766072461308
28,232.83913157894736,233.57766072461308
29,232.83913157894736,231.47239756671837
30,230.8415789473684,231.47239756671837
31,230.8415789473684,231.47239756671837
32,230.8415789473684,231.47239756671837
33,230.8415789473684,231.47239756671837
34,230.8415789473684,229.43625270451003
35,228.73631578947365,229.43625270451003
36,228.73631578947368,229.43625270451003
37,228.73631578947368,229.43625270451
38,226.63105263157894,227.33098954661526
39,224.52578947368423,227.33098954661526
40,222.4205263157895,225.22572638872052
41,219.9205263157895,225.22572638872052
42,219.9205263157895,223.12046323082578
43,219.9205263157895,223.12046323082578
44,219.9205263157895,223.12046323082578
45,219.9205263157895,223.12046323082578
46,219.9205263157895,222.62005179897852
47,219.9205263157895,220.1200517989785
48,219.9205263157895,220.1200517989785
49,219.9205263157895,220.1200517989785
50,219.92052631578946,220.1200517989785
51,219.92052631578946,220.1200517989785
52,219.92052631578946,220.1200517989785
53,219.9205263157895,220.1200517989785
54,220.60415071770333,220.7991415308199
55,221.2877751196172,221.4782312626613
56,221.97139952153108,222.1573209945027
57,222.65502392344496,222.8364107263441
58,223.33864832535883,223.51550045818547
59,224.0222727272727,224.19459019002687
60,224.70589712918658,224.87367992186824
61,225.38952153110046,225.55276965370965
62,226.07314593301433,226.23185938555102
63,226.7567703349282,226.91094911739242
64,227.44039473684208,227.5900388492338
65,228.12401913875595,228.2691285810756
66,228.80764354066983,228.9482183129174
67,229.4912679425837,229.6273080447592
68,230.17489234449758,230.306397776601
69,230.85851674641145,230.98548750844276
70,231.54214114832533,231.66457724028456
71,232.22576555023926,232.34366697212636
72,232.9093899521531,233.02275670396813
73,233.59301435406698,233.70184643580993
74,234.27663875598085,234.38093616765173
75,234.96026315789473,235.0600258994935
76,235.6438875598086,235.7391156313353
77,236.32751196172248,236.4182053631771
78,237.01113636363635,237.09729509501886
79,237.69476076555023,237.77638482686066
80,238.3783851674641,238.45547455870246
81,239.06200956937798,239.13456429054423
82,239.74563397129185,239.81365402238603
83,240.42925837320573,240.49274375422783
84,241.1128827751196,241.1718334860696
85,241.79650717703348,241.8509232179114
86,242.48013157894735,242.5300129497532
87,243.16375598086123,243.20910268159497
88,243.8473803827751,243.88819241343674
89,244.53100478468897,244.5672821452785
90,245.21462918660285,245.24637187710752
91,245.89825358851672,245.92546160894932
92,246.58187799043057,246.60455134079092
93,247.26550239234444,247.28364107263275
94,247.94912679425835,247.96273080447455
95,248.63275119617222,248.64182053631637
96,249.3163755980861,249.32091026815817
97,250.0,250.0
