Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.679845993724483,Digging,Traveling,0.0,0.0,4.679845993724483,Digging,Traveling,0.0
2,08:15,0.0,0.0,5.5824386527306356,Digging,Idle,4.679845993724484,1.169961498431121,0.0,Charging,Serving CEV,1.169961498431121
3,08:30,0.0,0.0,4.167936747401412,Digging,Idle,0.0,1.169961498431121,5.5824386527306356,Digging,Idle,1.169961498431121
4,08:45,0.0,0.0,3.6909496746266566,Digging,Idle,0.0,1.169961498431121,4.167936747401412,Digging,Idle,1.169961498431121
5,09:00,8.0,2.0,0.0,Charging,Serving CEV,0.0,1.169961498431121,3.6909496746266566,Digging,Idle,-0.8300385015688789
6,09:15,0.0,2.0,6.421291841929734,Traveling,Idle,0.0,1.169961498431121,6.421291841929734,Traveling,Idle,-0.8300385015688789
7,09:30,8.0,4.0,0.0,Charging,Serving CEV,7.040116916688483,2.9299907276032418,0.0,Charging,Serving CEV,-1.0700092723967582
8,09:45,0.0,4.0,2.9690539994732656,Digging,Idle,0.0,2.9299907276032418,2.9690539994732656,Digging,Idle,-1.0700092723967582
9,10:00,0.0,4.0,5.654796849460183,Digging,Idle,0.0,2.9299907276032418,5.654796849460183,Digging,Idle,-1.0700092723967582
10,10:15,0.0,4.0,5.4801887353271335,Digging,Idle,0.0,2.9299907276032418,5.4801887353271335,Digging,Idle,-1.0700092723967582
11,10:30,0.0,4.0,4.738110279329003,Digging,Idle,7.59523958426054,4.828800623668377,0.0,Charging,Serving CEV,0.8288006236683767
12,10:45,4.511300000000013,5.127825000000003,0.0,Charging,Serving CEV,0.0,4.828800623668377,2.720143168060706,Loading/Swinging,Idle,-0.2990243763316265
13,11:00,8.0,7.127825000000003,0.0,Charging,Serving CEV,0.0,4.828800623668377,3.840793988901714,Traveling,Idle,-2.2990243763316265
14,11:15,0.0,7.127825000000003,3.840793988901714,Traveling,Idle,6.643337156962428,6.489634912908984,0.0,Charging,Serving CEV,-0.6381900870910195
15,11:30,0.0,7.127825000000003,2.720143168060706,Loading/Swinging,Idle,0.0,6.489634912908984,2.9593393155052388,Loading/Swinging,Idle,-0.6381900870910195
16,11:45,0.0,7.127825000000003,5.003593261134805,Digging,Idle,0.0,6.489634912908984,4.738110279329003,Digging,Idle,-0.6381900870910195
17,12:00,0.0,7.127825000000003,0.0,Idle,Idle,0.0,6.489634912908984,0.0,Idle,Idle,-0.6381900870910195
18,12:15,0.0,7.127825000000003,0.0,Idle,Idle,0.0,6.489634912908984,0.0,Idle,Idle,-0.6381900870910195
19,12:30,0.0,7.127825000000003,0.0,Idle,Idle,0.0,6.489634912908984,0.0,Idle,Idle,-0.6381900870910195
20,12:45,0.0,7.127825000000003,0.0,Idle,Idle,0.0,6.489634912908984,0.0,Idle,Idle,-0.6381900870910195
21,13:00,3.1999999999999993,7.927825000000003,0.0,Charging,Serving CEV,2.9463495948342455,7.226222311617545,0.0,Charging,Serving CEV,-0.701602688382458
22,13:15,8.0,9.927825000000002,0.0,Charging,Serving CEV,8.0,9.226222311617544,0.0,Charging,Serving CEV,-0.701602688382458
23,13:30,8.0,11.927825000000002,0.0,Charging,Serving CEV,8.0,11.226222311617544,0.0,Charging,Serving CEV,-0.701602688382458
24,13:45,8.0,13.927825000000002,0.0,Charging,Serving CEV,8.0,13.226222311617544,0.0,Charging,Serving CEV,-0.701602688382458
25,14:00,0.0,13.927825000000002,4.271408926580865,Digging,Idle,0.0,13.226222311617544,5.003593261134805,Digging,Idle,-0.701602688382458
26,14:15,0.0,13.927825000000002,5.112601651377284,Digging,Idle,0.0,13.226222311617544,4.271408926580865,Digging,Idle,-0.701602688382458
27,14:30,0.0,13.927825000000002,4.8696588712163855,Traveling,Idle,0.0,13.226222311617544,4.8696588712163855,Traveling,Idle,-0.701602688382458
28,14:45,0.0,13.927825000000002,6.524473377224391,Digging,Idle,8.0,15.226222311617544,0.0,Charging,Serving CEV,1.298397311617542
29,15:00,7.590700000000005,15.825500000000003,0.0,Charging,Serving CEV,0.0,15.226222311617544,5.112601651377284,Digging,Idle,-0.5992776883824593
30,15:15,0.0,15.825500000000003,2.9593393155052388,Loading/Swinging,Idle,0.0,15.226222311617544,6.524473377224391,Digging,Idle,-0.5992776883824593
31,15:30,0.0,15.825500000000003,2.8919475588526895,Loading/Swinging,Idle,0.0,15.226222311617544,2.8919475588526895,Loading/Swinging,Idle,-0.5992776883824593
32,15:45,0.0,15.825500000000003,3.2363668300052373,Loading/Swinging,Idle,0.0,15.226222311617544,3.2363668300052373,Loading/Swinging,Idle,-0.5992776883824593
33,16:00,0.0,15.825500000000003,4.923324857856662,Traveling,Idle,7.737350476391657,17.160559930715458,0.0,Charging,Serving CEV,1.3350599307154543
34,16:15,8.0,17.825500000000005,0.0,Charging,Serving CEV,0.0,17.160559930715458,4.923324857856662,Traveling,Idle,-0.6649400692845475
35,16:30,0.0,17.825500000000005,4.8055385831629875,Loading/Swinging,Idle,0.0,17.160559930715458,0.0,Idle,Idle,-0.6649400692845475
36,16:45,0.0,17.825500000000005,3.6980773959691877,Loading/Swinging,Idle,0.0,17.160559930715458,4.8055385831629875,Loading/Swinging,Idle,-0.6649400692845475
37,17:00,8.0,19.825500000000005,0.0,Charging,Serving CEV,8.0,19.160559930715458,0.0,Charging,Serving CEV,-0.6649400692845475
38,17:15,8.0,21.825500000000005,0.0,Charging,Serving CEV,0.0,19.160559930715458,0.0,Idle,Idle,-2.6649400692845475
39,17:30,8.0,23.825500000000005,0.0,Charging,Serving CEV,8.0,21.160559930715458,0.0,Charging,Serving CEV,-2.6649400692845475
40,17:45,0.0,23.825500000000005,0.0,Idle,Traveling,0.0,21.160559930715458,0.0,Idle,Idle,-2.6649400692845475
41,18:00,0.0,23.825500000000005,0.0,Idle,Idle,8.0,23.160559930715458,0.0,Charging,Serving CEV,-0.6649400692845475
42,18:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.160559930715458,0.0,Idle,Idle,-0.6649400692845475
43,18:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.160559930715458,0.0,Idle,Idle,-0.6649400692845475
44,18:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.160559930715458,0.0,Idle,Idle,-0.6649400692845475
45,19:00,0.0,23.825500000000005,0.0,Idle,Idle,1.901563441019654,23.63595079097037,0.0,Charging,Serving CEV,-0.1895492090296358
46,19:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097037,0.0,Idle,Traveling,-0.1895492090296358
47,19:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097037,0.0,Idle,Idle,-0.1895492090296358
48,19:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097037,0.0,Idle,Idle,-0.1895492090296358
49,20:00,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097037,0.0,Idle,Idle,-0.1895492090296358
50,20:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097037,0.0,Idle,Idle,-0.1895492090296358
51,20:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097037,0.0,Idle,Idle,-0.1895492090296358
52,20:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097037,0.0,Idle,Idle,-0.1895492090296358
53,21:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,23.63595079097037,0.0,Idle,Charging (grid),-0.1895492090296358
54,21:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,23.63595079097037,0.0,Idle,Charging (grid),-0.1895492090296358
55,21:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,23.63595079097037,0.0,Idle,Charging (grid),-0.1895492090296358
