Time_Period,CEV_1_A1R_kWh,CEV_1_A2R_kWh
1,14.8,14.8
2,13.63003850156888,13.63003850156888
3,12.23442883838622,12.23442883838622
4,11.192444651535867,11.192444651535867
5,10.269707232879203,12.82388692094281
6,11.153075000000001,11.901149502286145
7,9.547752039517567,10.295826541803711
8,8.80548853964925,12.295826541803711
9,10.363425,11.553563041935394
10,9.683389207984822,10.873527249920217
11,11.573775,10.133692421043907
12,10.160075787634954,11.882927190813625
13,9.420240958758644,13.88079646964597
14,8.460042461533215,12.467097257280924
15,10.396250000000002,11.506898760055496
16,9.026202816168219,10.136851576223712
17,8.303215926455046,8.95232400639146
18,8.303215926455046,8.95232400639146
19,8.303215926455046,10.95232400639146
20,8.303215926455046,10.95232400639146
21,8.303215926455046,12.95232400639146
22,8.800000000000004,12.95232400639146
23,10.800000000000004,12.95232400639146
24,12.800000000000004,14.8
25,14.8,14.8
26,13.615472430167749,13.5491016847163
27,12.364574114884048,12.481249453071083
28,11.147159397079951,14.481249453071083
29,10.079307165434734,13.263834735266986
30,12.079307165434734,12.540847845553813
31,10.801156752590414,11.262697432709492
32,9.992065045089104,9.631579088403395
33,8.790680399298358,11.631579088403395
34,9.967175,10.822487380902086
35,8.736343785535833,9.59165616643792
36,8.78965,8.390271520647174
37,8.0,10.390271520647174
38,8.0,12.390271520647174
39,8.800000000000013,14.390271520647174
40,10.800000000000013,14.799999999999983
41,10.800000000000013,14.799999999999983
42,12.800000000000013,14.799999999999983
43,12.800000000000013,14.799999999999983
44,14.8,14.799999999999983
45,14.8,14.799999999999983
46,14.8,14.799999999999983
47,14.8,14.799999999999983
48,14.8,14.799999999999983
49,14.8,14.799999999999983
50,14.8,14.799999999999983
51,14.8,14.799999999999983
52,14.8,14.799999999999983
53,14.8,14.799999999999983
54,14.8,14.799999999999983
55,14.8,14.799999999999983
56,14.8,14.799999999999983
57,14.8,14.799999999999983
58,14.8,14.799999999999983
59,14.8,14.799999999999983
60,14.8,14.799999999999983
61,14.8,14.799999999999983
62,14.8,14.799999999999983
63,14.8,14.799999999999983
64,14.8,14.799999999999983
65,14.8,14.799999999999983
66,14.8,14.799999999999983
67,14.8,14.799999999999983
68,14.8,14.799999999999983
69,14.8,14.799999999999983
70,14.8,14.799999999999983
71,14.8,14.799999999999983
72,14.8,14.799999999999983
73,14.8,14.799999999999983
74,14.8,14.799999999999983
75,14.8,14.799999999999983
76,14.8,14.799999999999983
77,14.8,14.799999999999983
78,14.8,14.799999999999983
79,14.8,14.799999999999983
80,14.8,14.799999999999983
81,14.8,14.799999999999983
82,14.8,14.799999999999983
83,14.8,14.799999999999983
84,14.8,14.799999999999983
85,14.8,14.799999999999983
86,14.8,14.799999999999983
87,14.8,14.799999999999983
88,14.8,14.799999999999983
89,14.8,14.799999999999983
90,14.8,14.799999999999983
91,14.8,14.799999999999983
92,14.8,14.799999999999983
93,14.8,14.799999999999983
94,14.8,14.799999999999983
95,14.8,14.799999999999983
96,14.8,14.799999999999983
97,14.8,14.799999999999983
