Time_Period,MCS_1_A1S_kWh,MCS_1_A1R_kWh
1,250.0,250.0
2,247.5,247.5
3,246.2684615805988,247.5
4,246.2684615805988,247.5
5,246.2684615805988,247.5
6,246.2684615805988,246.57013919250443
7,246.2684615805988,246.57013919250446
8,244.41579923410183,246.57013919250446
9,244.41579923410183,244.93020607634577
10,244.41579923410183,244.93020607634577
11,244.41579923410183,242.94032629527715
12,242.4170519750859,242.94032629527715
13,242.41705197508594,242.94032629527715
14,242.41705197508594,242.94032629527715
15,240.66880535483264,240.90221309689107
16,240.66880535483264,240.90221309689107
17,240.66880535483264,240.90221309689107
18,240.66880535483264,240.90221309689107
19,240.66880535483264,240.90221309689107
20,240.66880535483264,240.90221309689107
21,240.66880535483264,240.90221309689107
22,239.8934501982973,240.37928249315954
23,237.78818704040256,238.2740193352648
24,235.68292388250782,236.16875617737006
25,233.57766072461308,234.06349301947532
26,233.57766072461308,234.06349301947532
27,233.57766072461308,234.06349301947532
28,233.57766072461308,234.06349301947532
29,231.47239756671837,234.06349301947532
30,231.47239756671837,231.95822986158058
31,231.47239756671837,231.95822986158058
32,231.47239756671837,231.95822986158058
33,231.47239756671837,231.95822986158058
34,229.43625270451003,230.71981449242097
35,229.43625270451003,230.71981449242097
36,229.43625270451003,230.66370268772184
37,229.43625270451,230.66370268772184
38,227.33098954661526,230.66370268772184
39,227.33098954661526,229.82159742456392
40,225.22572638872052,227.71633426666918
41,225.22572638872052,227.71633426666918
42,223.12046323082578,225.61107110877444
43,223.12046323082578,225.61107110877444
44,223.12046323082578,223.50580795087973
45,223.12046323082578,221.0058079508797
46,222.62005179897852,221.0058079508797
47,220.1200517989785,221.0058079508797
48,220.1200517989785,221.0058079508797
49,220.1200517989785,221.0058079508797
50,220.1200517989785,221.0058079508797
51,220.1200517989785,221.0058079508797
52,220.1200517989785,221.0058079508797
53,220.1200517989785,221.0058079508797
54,220.7991415308199,221.66476686108697
55,221.4782312626613,222.32372577129425
56,222.1573209945027,222.98268468150152
57,222.8364107263441,223.64164359170883
58,223.51550045818547,224.30060250191613
59,224.19459019002687,224.95956141212343
60,224.87367992186824,225.61852032233074
61,225.55276965370965,226.27747923253804
62,226.23185938555102,226.93643814274535
63,226.91094911739242,227.59539705295265
64,227.5900388492338,228.25435596315995
65,228.2691285810756,228.9133148733674
66,228.9482183129174,229.57227378357484
67,229.6273080447592,230.2312326937823
68,230.306397776601,230.89019160398973
69,230.98548750844276,231.54915051419718
70,231.66457724028456,232.20810942440463
71,232.34366697212636,232.86706833461207
72,233.02275670396813,233.52602724481952
73,233.70184643580993,234.18498615502696
74,234.38093616765173,234.8439450652344
75,235.0600258994935,235.50290397544185
76,235.7391156313353,236.1618628856493
77,236.4182053631771,236.82082179585674
78,237.09729509501886,237.4797807060642
79,237.77638482686066,238.13873961627164
80,238.45547455870246,238.79769852647908
81,239.13456429054423,239.45665743668653
82,239.81365402238603,240.11561634689397
83,240.49274375422783,240.77457525710142
84,241.1718334860696,241.43353416730886
85,241.8509232179114,242.0924930775163
86,242.5300129497532,242.75145198772375
87,243.20910268159497,243.41041089793117
88,243.88819241343674,244.0693698081386
89,244.5672821452785,244.728328718346
90,245.24637187710752,245.3872876285481
91,245.92546160894932,246.04624653875553
92,246.60455134079092,246.70520544896294
93,247.28364107263275,247.36416435917036
94,247.96273080447455,248.02312326937772
95,248.64182053631637,248.68208217958517
96,249.32091026815817,249.34104108979255
97,250.0,250.0
