Time_Period,CEV_1_A1S_kWh,CEV_1_A1R_kWh
1,14.8,14.8
2,13.63003850156888,13.63003850156888
3,14.8,12.23442883838622
4,13.404390336817341,11.192444651535867
5,12.362406149966988,10.269707232879203
6,11.439668731310324,11.153075000000001
7,9.83434577082789,9.547752039517567
8,11.59437500000001,8.80548853964925
9,10.852111500131693,10.363425
10,9.438412287766647,9.683389207984822
11,8.068365103934864,11.573775
12,9.967175,10.160075787634954
13,9.287139207984822,9.420240958758644
14,8.326940710759393,8.460042461533215
15,9.987775,10.396250000000002
16,9.24794017112369,9.026202816168219
17,8.06341260129144,8.303215926455046
18,8.06341260129144,8.303215926455046
19,8.06341260129144,8.303215926455046
20,8.06341260129144,8.303215926455046
21,8.06341260129144,8.303215926455046
22,8.8,8.800000000000004
23,10.8,10.800000000000004
24,12.8,12.800000000000004
25,14.8,14.8
26,13.5491016847163,13.615472430167749
27,12.481249453071083,12.364574114884048
28,11.263834735266986,11.147159397079951
29,13.263834735266986,10.079307165434734
30,11.985684322422665,12.079307165434734
31,10.354565978116568,10.801156752590414
32,9.631579088403395,9.992065045089104
33,8.822487380902086,8.790680399298358
34,10.756825,9.967175
35,9.525993785535833,8.736343785535833
36,9.525993785535833,8.78965
37,8.324609139745087,8.0
38,10.324609139745087,8.0
39,10.324609139745087,8.800000000000013
40,12.324609139745087,10.800000000000013
41,12.324609139745087,10.800000000000013
42,14.324609139745087,12.800000000000013
43,14.324609139745087,12.800000000000013
44,14.324609139745087,14.8
45,14.324609139745087,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
