Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A1R_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.679845993724483,Digging,Traveling,0.0,0.0,4.679845993724483,Digging,Traveling,0.0
2,08:15,4.679845993724484,1.169961498431121,0.0,Charging,Serving CEV,0.0,0.0,5.5824386527306356,Digging,Idle,-1.169961498431121
3,08:30,0.0,1.169961498431121,5.5824386527306356,Digging,Idle,0.0,0.0,4.167936747401412,Digging,Idle,-1.169961498431121
4,08:45,0.0,1.169961498431121,4.167936747401412,Digging,Idle,0.0,0.0,3.6909496746266566,Digging,Idle,-1.169961498431121
5,09:00,0.0,1.169961498431121,3.6909496746266566,Digging,Idle,3.5334710684831947,0.8833677671207987,0.0,Charging,Serving CEV,-0.2865937313103224
6,09:15,0.0,1.169961498431121,6.421291841929734,Traveling,Idle,0.0,0.8833677671207987,6.421291841929734,Traveling,Idle,-0.2865937313103224
7,09:30,7.040116916688483,2.9299907276032418,0.0,Charging,Serving CEV,0.0,0.8833677671207987,2.9690539994732656,Digging,Idle,-2.046622960482443
8,09:45,0.0,2.9299907276032418,2.9690539994732656,Digging,Idle,6.231745841403001,2.441304227471549,0.0,Charging,Serving CEV,-0.4886865001316929
9,10:00,0.0,2.9299907276032418,5.654796849460183,Digging,Idle,0.0,2.441304227471549,2.720143168060706,Loading/Swinging,Idle,-0.4886865001316929
10,10:15,0.0,2.9299907276032418,5.4801887353271335,Digging,Idle,7.561543168060706,4.331690019486725,0.0,Charging,Serving CEV,1.4016992918834834
11,10:30,7.59523958426054,4.828800623668377,0.0,Charging,Serving CEV,0.0,4.331690019486725,5.654796849460183,Digging,Idle,-0.49711060418165154
12,10:45,0.0,4.828800623668377,2.720143168060706,Loading/Swinging,Idle,0.0,4.331690019486725,2.9593393155052388,Loading/Swinging,Idle,-0.49711060418165154
13,11:00,0.0,4.828800623668377,3.840793988901714,Traveling,Idle,0.0,4.331690019486725,3.840793988901714,Traveling,Idle,-0.49711060418165154
14,11:15,6.643337156962428,6.489634912908984,0.0,Charging,Serving CEV,7.744830153867145,6.2678975579535114,0.0,Charging,Serving CEV,-0.2217373549554722
15,11:30,0.0,6.489634912908984,2.9593393155052388,Loading/Swinging,Idle,0.0,6.2678975579535114,5.4801887353271335,Digging,Idle,-0.2217373549554722
16,11:45,0.0,6.489634912908984,4.738110279329003,Digging,Idle,0.0,6.2678975579535114,2.8919475588526895,Loading/Swinging,Idle,-0.2217373549554722
17,12:00,0.0,6.489634912908984,0.0,Idle,Idle,0.0,6.2678975579535114,0.0,Idle,Idle,-0.2217373549554722
18,12:15,0.0,6.489634912908984,0.0,Idle,Idle,0.0,6.2678975579535114,0.0,Idle,Idle,-0.2217373549554722
19,12:30,0.0,6.489634912908984,0.0,Idle,Idle,0.0,6.2678975579535114,0.0,Idle,Idle,-0.2217373549554722
20,12:45,0.0,6.489634912908984,0.0,Idle,Idle,0.0,6.2678975579535114,0.0,Idle,Idle,-0.2217373549554722
21,13:00,2.9463495948342455,7.226222311617545,0.0,Charging,Serving CEV,1.9871362941798338,6.76468163149847,0.0,Charging,Serving CEV,-0.4615406801190751
22,13:15,8.0,9.226222311617544,0.0,Charging,Serving CEV,8.0,8.764681631498469,0.0,Charging,Serving CEV,-0.4615406801190751
23,13:30,8.0,11.226222311617544,0.0,Charging,Serving CEV,8.0,10.764681631498469,0.0,Charging,Serving CEV,-0.4615406801190751
24,13:45,8.0,13.226222311617544,0.0,Charging,Serving CEV,7.999999999999986,12.764681631498465,0.0,Charging,Serving CEV,-0.4615406801190787
25,14:00,0.0,13.226222311617544,5.003593261134805,Digging,Idle,0.0,12.764681631498465,4.738110279329003,Digging,Idle,-0.4615406801190787
26,14:15,0.0,13.226222311617544,4.271408926580865,Digging,Idle,0.0,12.764681631498465,5.003593261134805,Digging,Idle,-0.4615406801190787
