Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.679845993724483,Digging,Traveling,0.0,0.0,4.679845993724483,Digging,Traveling,0.0
2,08:15,4.679845993724484,1.169961498431121,0.0,Charging,Serving CEV,0.0,0.0,5.5824386527306356,Digging,Idle,-1.169961498431121
3,08:30,0.0,1.169961498431121,5.5824386527306356,Digging,Idle,0.0,0.0,4.167936747401412,Digging,Idle,-1.169961498431121
4,08:45,0.0,1.169961498431121,4.167936747401412,Digging,Idle,6.086994007635646,1.5217485019089114,0.0,Charging,Serving CEV,0.35178700347779035
5,09:00,0.0,1.169961498431121,3.6909496746266566,Digging,Idle,0.0,1.5217485019089114,2.720143168060706,Loading/Swinging,Idle,0.35178700347779035
6,09:15,0.0,1.169961498431121,6.421291841929734,Traveling,Idle,0.0,1.5217485019089114,6.421291841929734,Traveling,Idle,0.35178700347779035
7,09:30,7.040116916688483,2.9299907276032418,0.0,Charging,Serving CEV,7.6217970501751795,3.427197764452706,0.0,Charging,Serving CEV,0.4972070368494643
8,09:45,0.0,2.9299907276032418,2.9690539994732656,Digging,Idle,0.0,3.427197764452706,3.6909496746266566,Digging,Idle,0.4972070368494643
9,10:00,0.0,2.9299907276032418,5.654796849460183,Digging,Idle,0.0,3.427197764452706,2.9690539994732656,Digging,Idle,0.4972070368494643
10,10:15,0.0,2.9299907276032418,5.4801887353271335,Digging,Idle,7.401557643054453,5.277587175216319,0.0,Charging,Serving CEV,2.3475964476130775
11,10:30,7.59523958426054,4.828800623668377,0.0,Charging,Serving CEV,0.0,5.277587175216319,5.654796849460183,Digging,Idle,0.44878655154794256
12,10:45,0.0,4.828800623668377,2.720143168060706,Loading/Swinging,Idle,0.0,5.277587175216319,5.4801887353271335,Digging,Idle,0.44878655154794256
13,11:00,0.0,4.828800623668377,3.840793988901714,Traveling,Idle,7.043682297417725,7.03850774957075,0.0,Charging,Serving CEV,2.2097071259023737
14,11:15,6.643337156962428,6.489634912908984,0.0,Charging,Serving CEV,0.0,7.03850774957075,3.840793988901714,Traveling,Idle,0.5488728366617668
15,11:30,0.0,6.489634912908984,2.9593393155052388,Loading/Swinging,Idle,0.0,7.03850774957075,4.738110279329003,Digging,Idle,0.5488728366617668
16,11:45,0.0,6.489634912908984,4.738110279329003,Digging,Idle,0.0,7.03850774957075,2.9593393155052388,Loading/Swinging,Idle,0.5488728366617668
17,12:00,0.0,6.489634912908984,0.0,Idle,Idle,8.0,9.038507749570751,0.0,Charging,Serving CEV,2.5488728366617677
18,12:15,0.0,6.489634912908984,0.0,Idle,Idle,8.0,11.038507749570751,0.0,Charging,Serving CEV,4.548872836661768
19,12:30,0.0,6.489634912908984,0.0,Idle,Idle,8.0,13.038507749570751,0.0,Charging,Serving CEV,6.548872836661768
20,12:45,0.0,6.489634912908984,0.0,Idle,Idle,0.7508582481871784,13.226222311617546,0.0,Charging,Serving CEV,6.736587398708562
21,13:00,2.9463495948342455,7.226222311617545,0.0,Charging,Serving CEV,0.0,13.226222311617546,0.0,Idle,Idle,6.000000000000001
22,13:15,8.0,9.226222311617544,0.0,Charging,Serving CEV,0.0,13.226222311617546,0.0,Idle,Idle,4.000000000000002
23,13:30,8.0,11.226222311617544,0.0,Charging,Serving CEV,0.0,13.226222311617546,0.0,Idle,Idle,2.0000000000000018
24,13:45,8.0,13.226222311617544,0.0,Charging,Serving CEV,0.0,13.226222311617546,0.0,Idle,Idle,1.7763568394002505e-15
25,14:00,0.0,13.226222311617544,5.003593261134805,Digging,Idle,0.0,13.226222311617546,5.003593261134805,Digging,Idle,1.7763568394002505e-15
26,14:15,0.0,13.226222311617544,4.271408926580865,Digging,Idle,0.0,13.226222311617546,4.271408926580865,Digging,Idle,1.7763568394002505e-15
27,14:30,0.0,13.226222311617544,4.8696588712163855,Traveling,Idle,8.0,15.226222311617546,0.0,Charging,Serving CEV,2.0000000000000018
