Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.67243767313022,250.0
4,248.6724376731308,250.0
5,248.6724376731308,250.0
6,246.56717451523605,247.89473684210526
7,246.56717451523605,247.89473684210526
8,246.56717451523605,247.89473684210526
9,244.4619113573413,245.78947368421052
10,244.4619113573413,243.68421052631575
11,244.78466066481974,243.68421052631575
12,245.2587824225634,243.68421052631575
13,245.73290418030706,241.57894736841484
14,246.20702593805072,241.57894736841484
15,246.68114769579438,241.57894736841484
16,247.15526945353804,241.57894736841484
17,247.6293912112817,241.57894736841484
18,248.10351296902536,239.4736842105201
19,248.57763472676902,238.96342116333938
20,249.05175648451268,238.96342116333938
21,249.52587824225634,239.4151152860073
22,250.0,239.86680940867524
23,250.0,240.31850353134317
24,247.89473684210526,240.7701976540111
25,245.78947368421052,241.22189177667903
26,245.78947368421052,241.67358589934696
27,245.78947368421052,242.12549735245008
28,245.78947368421052,242.5774088055532
29,243.68421052631578,243.02932025865633
30,243.68421052631578,243.48123171175945
31,243.68421052631578,243.93314316486257
32,243.68421052631578,244.3850546179657
33,243.68421052631578,244.83696607106882
34,241.57894736842104,244.83696607106882
35,241.57894736842104,242.76316878511662
36,241.57894736842104,242.76316878511662
37,241.57894736842104,242.76316878511662
38,239.4736842105263,240.65790562722188
39,237.36842105263156,238.74132213829623
40,235.26315789473682,236.73693179560811
41,235.26315789473682,234.63166863771337
42,233.15789473684208,232.52640547981864
43,231.05263157894734,230.74824319868588
44,231.05263157894734,230.74824319868588
45,229.13864265927918,230.74824319868588
46,229.13864265927918,230.74824319868588
47,229.13864265927918,230.74824319868588
48,229.13864265927918,230.74824319868588
49,229.13864265927918,230.74824319868588
50,229.13864265927918,230.74824319868588
51,229.13864265927918,230.74824319868588
52,229.13864265927918,230.74824319868588
53,229.13864265927918,230.74824319868588
54,229.61276441702285,231.200154651789
55,230.0868861747665,231.65206610489213
56,230.56100793251017,232.10397755799525
57,231.03512969025383,232.55588901109837
58,231.50925144799749,233.0078004642015
59,231.98337320574115,233.45971191730462
60,232.4574949634848,233.91162337040774
61,232.93161672122847,234.36353482351086
62,233.40573847897213,234.63501059449396
63,233.87986023671579,235.08692204759708
64,234.35398199445945,235.5388335007002
65,234.8281037522031,235.5388335007002
66,235.30222550994677,235.99074495380333
67,235.77634726769043,236.44265640690645
68,236.25046902543409,236.89456786000957
69,236.72459078317775,237.3464793131127
70,237.1987125409214,237.79839076621582
71,237.67283429866507,238.25030221931894
72,238.14695605640873,238.70221367242206
73,238.6210778141524,239.15412512552518
74,239.09519957189605,239.6060365786283
75,239.5693213296397,240.05794803173143
76,240.04344308738337,240.50985948483455
77,240.51756484512703,240.96177093793767
78,240.9916866028707,241.4136823910408
79,241.46580836061435,241.86559384414392
80,241.939930118358,242.31750529724704
81,242.41405187610167,242.76941675035016
82,242.88817363384533,243.22132820345328
83,243.362295391589,243.6732396565564
84,243.83641714933265,244.12515110965953
85,244.3105389070763,244.57706256276265
86,244.78466066481997,245.02897401586577
87,245.25878242256363,245.4808854689689
88,245.7329041803073,245.93279692207201
89,246.20702593805095,246.38470837517514
90,246.6811476957946,246.83661982827817
91,247.15526945353827,247.2885312813813
92,247.62939121128193,247.74044273448442
93,248.1035129690256,248.1923541875875
94,248.57763472676925,248.64426564069063
95,249.0517564845129,249.09617709379373
96,249.52587824225634,249.54808854689688
97,250.0,250.0
