Time_Period,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.5311240078471,250.0
4,248.5311240078471,250.0
5,248.5311240078471,250.0
6,246.45340076771734,247.89473684210526
7,246.45340076771734,247.89473684210526
8,244.57333598398935,245.78947368420788
9,244.57333598398935,243.68421052631314
10,244.57333598398935,243.68421052631314
11,244.57333598398935,244.12317403381758
12,244.57333598398935,244.56213754132202
13,242.4680728260946,245.00110104882646
14,242.4680728260946,245.4400645563309
15,242.4680728260946,245.89442406960214
16,242.4680728260946,246.34878358287338
17,242.4680728260946,246.80314309614462
18,240.36280966819987,247.25750260941587
19,238.25754651030513,247.72295513266317
20,238.25754651030513,248.18840765591048
21,238.71559216522448,248.6538601791578
22,239.17363782014382,249.1193127024051
23,239.63168347506317,249.1193127024051
24,240.08972912998252,247.01404954451036
25,240.54777478490186,244.90878638661562
26,241.0058204398212,244.90878638661562
27,241.46386609474055,244.90878638661562
28,241.9219117496599,244.90878638661562
29,242.37995740457924,244.90878638661562
30,242.8380030594986,243.95246354203587
31,243.29604871441794,243.95246354203587
32,243.75409436933728,243.95246354203587
33,244.21214002425663,243.95246354203587
34,244.21214002425663,241.86837094811304
35,243.22623931064075,241.86837094811304
36,243.22623931064075,241.86837094811304
37,243.22623931064075,241.86837094811304
38,242.96636425274528,239.7631077902183
39,240.86110109485054,237.65784463232356
40,238.8803188956816,235.55258147442882
41,236.87930743247998,233.44731831653408
42,234.77404427458524,231.34205515863934
43,232.6687811166905,230.49407246673223
44,230.8904409997953,230.49407246673223
45,230.8904409997953,230.49407246673223
46,230.8904409997953,230.49407246673223
47,230.8904409997953,230.49407246673223
48,230.8904409997953,230.49407246673223
49,230.8904409997953,230.49407246673223
50,230.8904409997953,230.49407246673223
51,230.8904409997953,230.49407246673223
52,230.8904409997953,230.49407246673223
53,230.8904409997953,230.49407246673223
54,231.34848665471463,230.95952498997954
55,231.80653230963398,231.42497751322685
56,232.26457796455333,231.89043003647416
57,232.72262361947267,232.35588255972146
58,233.18066927439202,232.82133508296877
59,233.63871492931136,233.28678760621608
60,234.0967605842307,233.7522401294634
61,234.55480623915005,234.2176926527107
62,234.55480623915005,234.2176926527107
63,235.0128518940694,234.683145175958
64,235.34253904258048,235.10551925608647
65,235.34253904258048,235.10551925608647
66,235.80058469749983,235.57097177933377
67,236.25863035241917,236.03642430258108
68,236.71667600733852,236.5018768258284
69,237.17472166225787,236.9673293490757
70,237.6327673171772,237.432781872323
71,238.09081297209656,237.8982343955703
72,238.5488586270159,238.36368691881762
73,239.00690428193525,238.82913944206493
74,239.4649499368546,239.29459196531224
75,239.92299559177394,239.76004448855954
76,240.3810412466933,240.22549701180685
77,240.83908690161263,240.69094953505416
78,241.29713255653198,241.15640205830147
79,241.75517821145132,241.62185458154877
80,242.21322386637067,242.08730710479608
81,242.67126952129001,242.5527596280434
82,243.12931517620936,243.0182121512907
83,243.5873608311287,243.483664674538
84,244.04540648604805,243.9491171977853
85,244.5034521409674,244.41456972103262
86,244.96149779588674,244.88002224427993
87,245.4195434508061,245.34547476752724
88,245.87758910572543,245.81092729077454
89,246.33563476064478,246.27637981402185
90,246.7936804155645,246.7418323372689
91,247.2517260704818,247.2072848605162
92,247.70977172540148,247.67273738376346
93,248.1678173803212,248.13818990701077
94,248.62586303524085,248.60364243025808
95,249.08390869016057,249.06909495350538
96,249.54195434508028,249.5345474767527
97,250.0,250.0
