Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A1R_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0,4.764336498431121,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0,4.989984663182659,Digging,Idle,0.0
3,08:30,0.0,0.0,4.6363591868503535,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,2.0
4,08:45,0.0,0.0,4.517112418656664,Digging,Idle,0.0,2.0,4.6363591868503535,Digging,Idle,2.0
5,09:00,8.0,2.0,0.0,Charging,Serving CEV,0.0,2.0,4.517112418656664,Digging,Idle,0.0
6,09:15,0.0,2.0,5.137897960482434,Traveling,Idle,0.0,2.0,5.137897960482434,Traveling,Idle,0.0
7,09:30,8.0,4.0,0.0,Charging,Serving CEV,8.0,4.0,0.0,Charging,Serving CEV,0.0
8,09:45,0.0,4.0,4.336638499868317,Digging,Idle,0.0,4.0,4.336638499868317,Digging,Idle,0.0
9,10:00,8.0,6.0,0.0,Charging,Serving CEV,8.0,6.0,0.0,Charging,Serving CEV,0.0
10,10:15,0.0,6.0,5.008074212365046,Digging,Idle,0.0,6.0,5.008074212365046,Digging,Idle,0.0
11,10:30,0.0,6.0,4.9644221838317835,Digging,Idle,0.0,6.0,4.9644221838317835,Digging,Idle,0.0
12,10:45,0.0,6.0,4.778902569832251,Digging,Idle,0.0,6.0,0.0,Idle,Idle,0.0
13,11:00,0.0,6.0,4.4927734972254285,Traveling,Idle,0.0,6.0,4.778902569832251,Digging,Idle,0.0
14,11:15,8.0,8.0,0.0,Charging,Serving CEV,0.0,6.0,4.4927734972254285,Traveling,Idle,-2.0
15,11:30,0.0,8.0,4.845273315283702,Digging,Idle,0.0,6.0,4.845273315283702,Digging,Idle,-2.0
16,11:45,0.0,8.0,4.6622272316452165,Digging,Idle,0.0,6.0,4.6622272316452165,Digging,Idle,-2.0
17,12:00,8.0,10.0,0.0,Charging,Serving CEV,8.0,8.0,0.0,Charging,Serving CEV,-2.0
18,12:15,8.0,12.0,0.0,Charging,Serving CEV,0.0,8.0,0.0,Idle,Idle,-4.0
19,12:30,7.302000000000817,13.825500000000204,0.0,Charging,Serving CEV,0.0,8.0,0.0,Idle,Idle,-5.825500000000204
20,12:45,0.0,13.825500000000204,0.0,Idle,Idle,8.0,10.0,0.0,Charging,Serving CEV,-3.825500000000204
21,13:00,0.0,13.825500000000204,0.0,Idle,Idle,0.0,10.0,0.0,Idle,Idle,-3.825500000000204
22,13:15,0.0,13.825500000000204,0.0,Idle,Idle,7.0908022376549695,11.772700559413742,0.0,Charging,Serving CEV,-2.052799440586462
23,13:30,0.0,13.825500000000204,0.0,Idle,Idle,0.0,11.772700559413742,0.0,Idle,Idle,-2.052799440586462
24,13:45,0.0,13.825500000000204,0.0,Idle,Idle,8.0,13.772700559413742,0.0,Charging,Serving CEV,-0.0527994405864618
25,14:00,0.0,13.825500000000204,4.872525412844321,Digging,Idle,0.0,13.772700559413742,4.872525412844321,Digging,Idle,-0.0527994405864618
26,14:15,0.0,13.825500000000204,3.0489857920151766,Loading/Swinging,Idle,0.0,13.772700559413742,5.2254933443060985,Digging,Idle,-0.0527994405864618
27,14:30,7.999999999999999,15.825500000000204,0.0,Charging,Serving CEV,0.5130187571504194,13.900955248701347,0.0,Charging,Serving CEV,-1.924544751298857
28,14:45,0.0,15.825500000000204,4.749989717804096,Traveling,Idle,0.0,13.900955248701347,4.749989717804096,Traveling,Idle,-1.924544751298857
29,15:00,0.0,15.825500000000204,5.2254933443060985,Digging,Idle,0.0,13.900955248701347,3.0489857920151766,Loading/Swinging,Idle,-1.924544751298857
30,15:15,0.0,15.825500000000204,3.10878482887631,Loading/Swinging,Idle,0.0,13.900955248701347,3.10878482887631,Loading/Swinging,Idle,-1.924544751298857
31,15:30,0.0,15.825500000000204,3.091936889713172,Loading/Swinging,Idle,0.0,13.900955248701347,3.091936889713172,Loading/Swinging,Idle,-1.924544751298857
32,15:45,7.999999999999999,17.825500000000204,0.0,Charging,Serving CEV,7.813797228408762,15.854404555803537,0.0,Charging,Serving CEV,-1.971095444196667
33,16:00,0.0,17.825500000000204,3.178041707501309,Loading/Swinging,Idle,0.0,15.854404555803537,3.178041707501309,Loading/Swinging,Idle,-1.971095444196667
34,16:15,0.0,17.825500000000204,4.763406214464165,Traveling,Idle,0.0,15.854404555803537,4.763406214464165,Traveling,Idle,-1.971095444196667
35,16:30,0.0,17.825500000000204,3.5703346457907466,Loading/Swinging,Idle,0.0,15.854404555803537,3.5703346457907466,Loading/Swinging,Idle,-1.971095444196667
36,16:45,0.0,17.825500000000204,3.293469348992297,Loading/Swinging,Idle,0.0,15.854404555803537,3.293469348992297,Loading/Swinging,Idle,-1.971095444196667
37,17:00,8.0,19.825500000000204,0.0,Charging,Serving CEV,0.6193519167485135,16.009242534990666,0.0,Charging,Serving CEV,-3.8162574650095387
38,17:15,8.0,21.825500000000204,0.0,Charging,Serving CEV,8.0,18.009242534990666,0.0,Charging,Serving CEV,-3.8162574650095387
39,17:30,8.0,23.825500000000204,0.0,Charging,Serving CEV,8.0,20.009242534990666,0.0,Charging,Serving CEV,-3.8162574650095387
40,17:45,0.0,23.825500000000204,0.0,Idle,Idle,8.0,22.009242534990666,0.0,Charging,Serving CEV,-1.8162574650095387
41,18:00,0.0,23.825500000000204,0.0,Idle,Idle,8.0,24.009242534990666,0.0,Charging,Serving CEV,0.18374253499046134
42,18:15,0.0,23.825500000000204,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Traveling,0.18374253499046134
43,18:30,0.0,23.825500000000204,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.18374253499046134
