Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A1R_minus_A0_cum_kWh,A2R_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0
2,08:15,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0
3,08:30,0.0,0.0,4.6363591868503535,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,0.0,0.0,4.6363591868503535,Digging,Idle,2.0,0.0
4,08:45,0.0,0.0,4.517112418656664,Digging,Idle,0.0,2.0,4.6363591868503535,Digging,Idle,0.0,0.0,4.517112418656664,Digging,Idle,2.0,0.0
5,09:00,8.0,2.0,0.0,Charging,Serving CEV,0.0,2.0,4.517112418656664,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,0.0,0.0
6,09:15,0.0,2.0,5.137897960482434,Traveling,Idle,0.0,2.0,5.137897960482434,Traveling,Idle,0.0,2.0,5.137897960482434,Traveling,Idle,0.0,0.0
7,09:30,8.0,4.0,0.0,Charging,Serving CEV,8.0,4.0,0.0,Charging,Serving CEV,0.0,2.0,4.336638499868317,Digging,Idle,0.0,-2.0
8,09:45,0.0,4.0,4.336638499868317,Digging,Idle,0.0,4.0,4.336638499868317,Digging,Idle,0.0,2.0,5.008074212365046,Digging,Idle,0.0,-2.0
9,10:00,8.0,6.0,0.0,Charging,Serving CEV,8.0,6.0,0.0,Charging,Serving CEV,0.0,2.0,4.9644221838317835,Digging,Idle,0.0,-4.0
10,10:15,0.0,6.0,5.008074212365046,Digging,Idle,0.0,6.0,5.008074212365046,Digging,Idle,5.194883702693069,3.2987209256732672,0.0,Charging,Serving CEV,0.0,-2.7012790743267328
11,10:30,0.0,6.0,4.9644221838317835,Digging,Idle,0.0,6.0,4.9644221838317835,Digging,Idle,0.0,3.2987209256732672,4.778902569832251,Digging,Idle,0.0,-2.7012790743267328
12,10:45,0.0,6.0,4.778902569832251,Digging,Idle,0.0,6.0,0.0,Idle,Idle,0.0,3.2987209256732672,4.4927734972254285,Traveling,Idle,0.0,-2.7012790743267328
13,11:00,0.0,6.0,4.4927734972254285,Traveling,Idle,0.0,6.0,4.778902569832251,Digging,Idle,0.0,3.2987209256732672,4.845273315283702,Digging,Idle,0.0,-2.7012790743267328
