Time_Period,CEV_1_A1R_kWh,CEV_1_A2R_kWh
1,14.8,14.8
2,13.60891587539222,13.60891587539222
3,12.361419709596555,12.361419709596555
4,14.361419709596555,11.202329912883966
5,13.202329912883966,10.0730518082198
6,12.0730518082198,12.0730518082198
7,10.788577318099192,10.788577318099192
8,12.788577318099192,9.704417693132113
9,11.704417693132113,8.452399140040852
10,13.704417693132113,7.211293594082906
11,12.452399140040852,8.510014519756172
12,11.211293594082905,7.3152888772981095
13,11.211293594082905,6.192095502991752
14,10.016567951624843,4.980777174170827
15,8.893374577318486,3.8152203662595228
16,7.6820562484975605,5.815220366259522
17,6.516499440586257,4.597089013048442
18,8.516499440586257,6.597089013048443
19,8.516499440586257,6.907018110526538
20,8.516499440586257,7.886394871475587
21,10.516499440586257,9.886394871475588
22,10.516499440586257,9.886394871475588
23,12.2892,9.886394871475588
24,12.2892,11.886394871475588
25,14.2892,13.886394871475588
26,13.07106864678892,12.580021535399062
27,11.764695310712394,11.392524105948038
28,11.892949999999999,10.630277657944244
29,10.705452570548974,9.853081450725167
30,9.943206122545181,10.763478984735864
31,9.166009915326104,9.99049476230757
32,8.39302569289781,9.195984335432243
33,10.346475,8.0051327818162
34,9.551964573124673,7.112549120368514
35,8.361113019508633,9.112549120368513
36,7.4685293580609455,8.289181783120439
37,6.645162020812871,8.8
38,6.8,10.8
39,8.8,12.8
40,10.8,14.8
41,12.8,14.8
42,14.8,14.8
43,14.8,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
