Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.67243767313022,250.0
4,248.6724376731308,250.00000000000043
5,248.6724376731308,250.00000000000043
6,246.56717451523605,247.8947368421057
7,246.56717451523605,247.8947368421057
8,246.56717451523605,247.89473684210586
9,244.4619113573413,247.89473684210583
10,244.4619113573413,245.7894736842111
11,244.78466066481974,245.7894736842111
12,245.2587824225634,243.68421052631635
13,245.73290418030706,241.5789473684216
14,246.20702593805072,241.5789473684216
15,246.68114769579438,241.5789473684216
16,247.15526945353804,241.5789473684216
17,247.6293912112817,241.5789473684216
18,248.10351296902536,239.47368421052687
19,248.57763472676902,237.36842105263213
20,249.05175648451268,237.36842105263213
21,249.52587824225634,237.85321119645928
22,250.0,238.33800134028644
23,250.0,238.8227914841136
24,247.89473684210526,239.30758162794075
25,245.78947368421052,239.7923717717679
26,245.78947368421052,240.27716191559506
27,245.78947368421052,240.76417781406968
28,245.78947368421052,241.2533093451636
29,243.68421052631578,241.2533093451636
30,243.68421052631578,240.3699207737969
31,243.68421052631578,240.3699207737969
32,243.68421052631578,240.3699207737969
33,243.68421052631578,238.26465761590217
34,241.57894736842104,238.26465761590217
35,241.57894736842104,238.26465761590217
36,241.57894736842104,236.52952223940395
37,241.57894736842104,236.52952223940395
38,239.4736842105263,236.5075168948749
39,237.36842105263156,234.40225373698016
40,235.26315789473682,232.29699057908542
41,235.26315789473682,230.41449224541796
42,233.15789473684208,228.30922908752322
43,231.05263157894734,226.41384811339492
44,231.05263157894734,226.41384811339492
45,229.13864265927918,226.41384811339492
46,229.13864265927918,226.41384811339492
47,229.13864265927918,226.41384811339492
48,229.13864265927918,226.41384811339492
49,229.13864265927918,226.41384811339492
50,229.13864265927918,226.41384811339492
51,229.13864265927918,226.41384811339492
52,229.13864265927918,226.41384811339492
53,229.13864265927918,226.41384811339492
54,229.61276441702285,226.94989701990866
55,230.0868861747665,227.4859459264224
56,230.56100793251017,228.02199483293614
57,231.03512969025383,228.5580437394499
58,231.50925144799749,229.09409264596363
59,231.98337320574115,229.63014155247737
60,232.4574949634848,230.1661904589911
61,232.93161672122847,230.70223936550485
62,233.40573847897213,231.2382882720186
63,233.87986023671579,231.77433717853233
64,234.35398199445945,232.31038608504608
65,234.8281037522031,232.84643499155993
66,235.30222550994677,233.3824838980738
67,235.77634726769043,233.91853280458764
68,236.25046902543409,234.4545817111015
69,236.72459078317775,234.99063061761535
70,237.1987125409214,235.5266795241292
71,237.67283429866507,236.06272843064306
72,238.14695605640873,236.59877733715692
73,238.6210778141524,237.13482624367077
74,239.09519957189605,237.67087515018463
75,239.5693213296397,238.20692405669848
76,240.04344308738337,238.74297296321234
77,240.51756484512703,239.2790218697262
78,240.9916866028707,239.81507077624005
79,241.46580836061435,240.3511196827539
80,241.939930118358,240.88716858926776
81,242.41405187610167,241.4232174957816
82,242.88817363384533,241.95926640229547
83,243.362295391589,242.49531530880932
84,243.83641714933265,243.03136421532318
85,244.3105389070763,243.56741312183703
86,244.78466066481997,244.1034620283509
87,245.25878242256363,244.63951093486475
88,245.7329041803073,245.1755598413786
89,246.20702593805095,245.71160874789246
90,246.6811476957946,246.24765765440296
91,247.15526945353827,246.7837065609168
92,247.62939121128193,247.31975546743067
93,248.1035129690256,247.85580437394455
94,248.57763472676925,248.39185328045838
95,249.0517564845129,248.92790218697226
96,249.52587824225634,249.46395109348612
97,250.0,250.0
