Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.21798175078444,Digging,Traveling,0.0,0.0,5.21798175078444,Digging,Idle,0.0
2,08:15,5.04473684210517,1.2611842105262925,0.0,Charging,Serving CEV,0.0,0.0,5.30264233159133,Digging,Idle,-1.2611842105262925
3,08:30,-2.1227464230832993e-12,1.2611842105257618,5.30264233159133,Digging,Idle,0.0,0.0,5.281970406574824,Digging,Traveling,-1.2611842105257618
4,08:45,0.0,1.2611842105257618,5.281970406574824,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,0.7388157894742382
5,09:00,7.999999999999997,3.2611842105257614,0.0,Charging,Serving CEV,0.0,2.0,5.341593790671668,Digging,Idle,-1.2611842105257614
6,09:15,0.0,3.2611842105257614,5.341593790671668,Digging,Idle,6.0200740634161685,3.505018515854042,0.0,Charging,Serving CEV,0.24383430532828054
7,09:30,0.0,3.2611842105257614,5.626241715849725,Traveling,Idle,0.0,3.505018515854042,5.626241715849725,Traveling,Traveling,0.24383430532828054
8,09:45,8.0,5.261184210525761,0.0,Charging,Serving CEV,0.0,3.505018515854042,5.431830750065842,Digging,Traveling,-1.7561656946717195
9,10:00,0.0,5.261184210525761,5.431830750065842,Digging,Traveling,0.0,3.505018515854042,5.311687106182523,Digging,Idle,-1.7561656946717195
10,10:15,0.0,5.261184210525761,5.311687106182523,Digging,Charging (grid),8.0,5.505018515854042,0.0,Charging,Serving CEV,0.24383430532828054
11,10:30,0.0,5.261184210525761,5.289861091915892,Digging,Charging (grid),0.0,5.505018515854042,5.289861091915892,Digging,Traveling,0.24383430532828054
12,10:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,5.505018515854042,0.0,Idle,Charging (grid),0.24383430532828054
13,11:00,0.0,5.261184210525761,5.2106987150838755,Digging,Charging (grid),0.0,5.505018515854042,5.2106987150838755,Digging,Charging (grid),0.24383430532828054
14,11:15,0.0,5.261184210525761,5.675357505477218,Traveling,Charging (grid),0.0,5.505018515854042,5.675357505477218,Traveling,Charging (grid),0.24383430532828054
15,11:30,0.0,5.261184210525761,5.230286657641851,Digging,Charging (grid),0.0,5.505018515854042,5.230286657641851,Digging,Charging (grid),0.24383430532828054
16,11:45,0.0,5.261184210525761,5.269036384177392,Digging,Charging (grid),0.0,5.505018515854042,5.269036384177392,Digging,Charging (grid),0.24383430532828054
17,12:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,5.505018515854042,0.0,Idle,Charging (grid),0.24383430532828054
18,12:15,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,5.505018515854042,0.0,Idle,Charging (grid),0.24383430532828054
19,12:30,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,5.505018515854042,0.0,Idle,Charging (grid),0.24383430532828054
20,12:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,5.505018515854042,0.0,Idle,Charging (grid),0.24383430532828054
21,13:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,5.505018515854042,0.0,Idle,Traveling,0.24383430532828054
22,13:15,0.0,5.261184210525761,0.0,Idle,Traveling,8.0,7.505018515854042,0.0,Charging,Serving CEV,2.2438343053282805
23,13:30,8.0,7.261184210525761,0.0,Charging,Serving CEV,8.0,9.505018515854042,0.0,Charging,Serving CEV,2.2438343053282805
24,13:45,8.0,9.261184210525762,0.0,Charging,Serving CEV,8.0,11.505018515854042,0.0,Charging,Serving CEV,2.2438343053282797
25,14:00,0.0,9.261184210525762,5.243912706422161,Digging,Idle,0.0,11.505018515854042,3.6444160734769153,Loading/Swinging,Idle,2.2438343053282797
26,14:15,0.0,9.261184210525762,5.420396672153049,Digging,Idle,0.0,11.505018515854042,5.243912706422161,Digging,Idle,2.2438343053282797
27,14:30,0.0,9.261184210525762,5.622940769663888,Traveling,Idle,0.0,11.505018515854042,5.622940769663888,Traveling,Idle,2.2438343053282797
28,14:45,8.0,11.261184210525762,0.0,Charging,Serving CEV,0.0,11.505018515854042,3.56838368814545,Loading/Swinging,Idle,0.24383430532827965
