day,step,clock,status,objective,gap_percent,solve_time_s
1,1,08:00,OPTIMAL,69.01871746363467,0.9960946122021422,33.922033071517944
1,2,08:15,OPTIMAL,63.324447615582315,0.989889538143366,14.322318077087402
1,3,08:30,OPTIMAL,63.06459426460094,0.9495564553542332,22.835728883743286
1,4,08:45,OPTIMAL,62.81530388933404,0.9544443497794131,15.881500005722046
1,5,09:00,OPTIMAL,62.61155109997469,0.982550988327753,14.816969871520996
1,6,09:15,OPTIMAL,62.61151510012668,0.9890699827681515,7.654675006866455
1,7,09:30,OPTIMAL,62.331831330882736,0.9955565887717828,9.61723804473877
1,8,09:45,OPTIMAL,62.09766987772142,0.998053535560464,7.1424548625946045
1,9,10:00,OPTIMAL,61.89291356284228,0.8133450055556152,3.8303141593933105
1,10,10:15,OPTIMAL,56.565654623453725,0.6430291328211863,3.174744129180908
1,11,10:30,OPTIMAL,56.377065013453375,0.10705830228859309,1.9653081893920898
1,12,10:45,OPTIMAL,56.1649964396806,0.06863580008126337,1.0595710277557373
1,13,11:00,OPTIMAL,56.38774380932212,0.8000163375060623,0.8796420097351074
1,14,11:15,OPTIMAL,56.12425920688921,0.09505298528735516,0.9842009544372559
1,15,11:30,OPTIMAL,55.96782259072304,0.14510723418686536,1.104011058807373
1,16,11:45,OPTIMAL,55.84648455486683,0.23649485613046883,1.127126932144165
1,17,12:00,OPTIMAL,55.603350846829024,0.21145108647904653,1.1147310733795166
1,18,12:15,OPTIMAL,55.47540229366007,0.24302888379922194,0.8574709892272949
1,19,12:30,OPTIMAL,55.347287717224255,4.9051938049571075e-6,1.034499168395996
1,20,12:45,OPTIMAL,55.219367564771126,0.021351393985543473,1.3749001026153564
1,21,13:00,OPTIMAL,55.09163224641358,0.17752750912637955,0.9531922340393066
1,22,13:15,OPTIMAL,54.964082006546164,0.02253408942324291,0.6501328945159912
1,23,13:30,OPTIMAL,54.83628317746564,4.119869873706948e-6,0.3927266597747803
1,24,13:45,OPTIMAL,49.83627417746564,4.363378200745572e-6,0.37662816047668457
1,25,14:00,OPTIMAL,49.79499067761407,0.0002778138785446298,0.32553577423095703
1,26,14:15,OPTIMAL,49.73920286837375,3.5518553233932732e-6,0.33139896392822266
1,27,14:30,OPTIMAL,49.686359653427594,5.145936476724627e-6,0.30803418159484863
1,28,14:45,OPTIMAL,49.64742146021992,1.3222629081248939e-6,0.25891566276550293
1,29,15:00,OPTIMAL,49.540575564859076,4.140035071856181e-6,0.22980594635009766
1,30,15:15,OPTIMAL,49.49261202170145,1.1782211295415548e-5,0.23405694961547852
1,31,15:30,OPTIMAL,49.44790919419147,5.9627285010856245e-6,0.21904492378234863
1,32,15:45,OPTIMAL,49.37442875053079,3.1566126875851464e-6,0.19795608520507812
1,33,16:00,OPTIMAL,49.344036322404904,0.0,0.15092897415161133
1,34,16:15,OPTIMAL,49.28211354142187,0.0,0.14930272102355957
1,35,16:30,OPTIMAL,49.18450034914966,0.0,0.1546192169189453
1,36,16:45,OPTIMAL,49.136650040091126,2.177126198933095e-6,0.12763214111328125
1,37,17:00,OPTIMAL,49.08158489889934,1.3422149690927696e-6,0.12239694595336914
1,38,17:15,OPTIMAL,49.03480055318129,0.0,0.14172816276550293
1,39,17:30,OPTIMAL,49.00589914335704,0.0,0.14861702919006348
1,40,17:45,OPTIMAL,48.95915015684588,0.0,0.1116342544555664
1,41,18:00,OPTIMAL,48.91240217033474,0.0,0.11876201629638672
1,42,18:15,OPTIMAL,48.865655183821815,0.0,0.11083793640136719
1,43,18:30,OPTIMAL,48.86565418382359,0.0,0.017061233520507812
1,44,18:45,OPTIMAL,43.86565418382359,0.0,0.01728367805480957
1,45,19:00,OPTIMAL,43.86565418382359,0.0,0.01641702651977539
1,46,19:15,OPTIMAL,43.86565418382359,0.0,0.0188291072845459
1,47,19:30,OPTIMAL,43.86565418382359,0.0,0.015933752059936523
1,48,19:45,OPTIMAL,43.86565418382359,0.0,0.015512228012084961
1,49,20:00,OPTIMAL,43.86565418382359,0.0,0.0149078369140625
1,50,20:15,OPTIMAL,43.86565418382359,0.0,0.015147924423217773
1,51,20:30,OPTIMAL,43.86565418382359,0.0,0.014936208724975586
1,52,20:45,OPTIMAL,43.86565418382359,0.0,0.014307022094726562
1,53,21:00,OPTIMAL,43.86565418382359,0.0,0.014435768127441406
1,54,21:15,OPTIMAL,43.67581612322255,0.0,0.01397395133972168
1,55,21:30,OPTIMAL,43.48595439269446,0.0,0.013231992721557617
1,56,21:45,OPTIMAL,43.295983027459826,0.0,0.013094902038574219
1,57,22:00,OPTIMAL,43.10568557053328,0.0,0.01331019401550293
1,58,22:15,OPTIMAL,42.91516895378238,0.0,0.012959957122802734
1,59,22:30,OPTIMAL,42.72416978217712,0.0,0.015554189682006836
1,60,22:45,OPTIMAL,42.72416978217712,0.0,0.012241125106811523
1,61,23:00,OPTIMAL,42.72416978217712,0.0,0.01199793815612793
1,62,23:15,OPTIMAL,42.72416978217712,0.0,0.011913061141967773
1,63,23:30,OPTIMAL,42.72416978217712,0.0,0.011434078216552734
1,64,23:45,OPTIMAL,42.72416978217712,0.0,0.011104106903076172
1,65,00:00,OPTIMAL,42.72416978217712,0.0,0.011723995208740234
1,66,00:15,OPTIMAL,42.59219556678071,0.0,0.01137399673461914
1,67,00:30,OPTIMAL,42.461123501241595,0.0,0.011232137680053711
1,68,00:45,OPTIMAL,42.330001509086586,0.0,0.010452032089233398
1,69,01:00,OPTIMAL,42.19887869453895,0.0,0.010168075561523438
1,70,01:15,OPTIMAL,42.06780856979874,0.0,0.009755134582519531
1,71,01:30,OPTIMAL,41.93664841130214,0.0,0.010204076766967773
1,72,01:45,OPTIMAL,41.80541147520733,0.0,0.01075291633605957
1,73,02:00,OPTIMAL,41.67416580207043,0.0,0.00957798957824707
1,74,02:15,OPTIMAL,41.542950617264836,0.0,0.009151935577392578
1,75,02:30,OPTIMAL,41.41172389882897,0.0,0.00907278060913086
1,76,02:45,OPTIMAL,41.28042677764384,0.0,0.0090179443359375
1,77,03:00,OPTIMAL,41.1491547511825,0.0,0.009339094161987305
1,78,03:15,OPTIMAL,41.01785351510008,0.0,0.008822202682495117
1,79,03:30,OPTIMAL,40.88645453445068,0.0,0.00969386100769043
1,80,03:45,OPTIMAL,40.754992531712816,0.0,0.00947880744934082
1,81,04:00,OPTIMAL,40.62350079469241,0.0,0.011590003967285156
1,82,04:15,OPTIMAL,40.492044696292346,0.0,0.009766101837158203
1,83,04:30,OPTIMAL,40.360835530780605,0.0,0.009157180786132812
1,84,04:45,OPTIMAL,40.22963541387789,0.0,0.0090789794921875
1,85,05:00,OPTIMAL,40.09844580143981,0.0,0.009163141250610352
1,86,05:15,OPTIMAL,39.967196298183666,0.0,0.009309053421020508
1,87,05:30,OPTIMAL,39.836046593245655,0.0,0.008291006088256836
1,88,05:45,OPTIMAL,39.704824100679396,0.0,0.008301973342895508
1,89,06:00,OPTIMAL,39.573546483880385,0.0,0.008004903793334961
1,90,06:15,OPTIMAL,39.573546483880385,0.0,0.007827043533325195
1,91,06:30,OPTIMAL,39.53880723758519,0.0,0.007646322250366211
1,92,06:45,OPTIMAL,39.347696858672606,0.0,0.008358001708984375
1,93,07:00,OPTIMAL,39.1567475841272,0.0,0.009564876556396484
