Metric,A1S,A2S
Total_Cost_USD,65.44,72.49
Total_Energy_Cost_USD,6.77,7.11
Total_CO2_Cost_USD,0.28,0.29
NC_demand_charge_USD,38.4,35.09
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,20.0,30.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,23.14,23.04
Total_CO2_Emissions_kg,5.5,5.77
NCD_Peak_kW,1.91,1.74
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,1.0,1.5
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,159.92,7780.88
