Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8,14.8
2,13.60539543769611,13.60539543769611,13.60539543769611
3,14.8,12.382584854798278,12.382584854798278
4,13.577189417101637,11.203977456441983,12.837260124217497
5,12.398582018745344,10.0402759041099,11.658652725861202
6,14.398582018745344,12.040275904109915,10.898656744230431
7,13.23488046641326,10.827215475147485,9.685596315268
8,12.02182003745083,9.686073162663945,11.608008623013767
9,14.02182003745083,11.686073162663943,10.807712700977405
10,12.88067772496729,13.686073162663973,9.64401114864532
11,11.655605948421659,12.461001386118342,8.850693226700756
12,10.435990675442685,11.241386113139368,7.709550914217216
13,10.435990675442685,13.241386113145234,7.709550914217216
14,9.239565354213653,12.044960791916203,6.579840290586521
15,8.109854730582958,10.915250168285509,5.35476851404089
16,6.905133066172495,9.710528503875047,4.135153241061917
17,5.723292162216843,8.528687599919394,3.304986065629959
18,5.723292162216843,10.528687599919394,3.4050007333878964
19,5.723292162216843,11.01343749474109,5.405000733387896
20,5.723292162216843,11.01343749474109,7.405000733387896
21,5.723292162216843,11.01343749474109,7.405000733387896
22,5.723292162216843,11.01343749474109,8.00450837766454
23,5.723292162216843,11.01343749474109,10.00450837766454
24,7.723292162216843,11.01343749474109,12.00450837766454
25,9.723292162216843,11.01343749474109,12.00450837766454
26,8.515163985611302,9.80530931813555,10.808083056435507
27,7.26291481757304,9.045313336504778,9.66526824885148
28,6.120100009989012,7.90249852892075,8.460546584441015
29,8.120100009989013,7.102202606884388,7.278705680485364
30,7.360104028358242,7.102202606884388,9.278705680485363
31,6.55980810632188,6.308884684939822,8.070577503879822
32,5.7664901843773135,5.478717509507864,7.27044875005868
33,4.936323008945355,4.6785887556867225,6.108032943800084
34,6.936323008945355,3.5161729494281264,4.855783775761822
35,5.773907202686759,5.486280371082723,6.855783775761822
36,4.973778448865618,4.23403120304446,8.855783775761822
37,4.210030647065762,3.470283401244604,8.092035973961966
38,6.210030647065762,5.470283401244604,10.092035973961966
39,8.21003064706576,7.29103771572397,12.092035973961966
40,10.21003064706576,9.195208541277687,14.092035973961966
41,10.21003064706576,11.195208541277687,14.8
42,12.21003064706576,13.195208541277687,14.8
43,14.21003064706576,14.8,14.8
44,14.21003064706576,14.8,14.8
45,14.8,14.8,14.8
46,14.8,14.8,14.8
47,14.8,14.8,14.8
48,14.8,14.8,14.8
49,14.8,14.8,14.8
50,14.8,14.8,14.8
51,14.8,14.8,14.8
52,14.8,14.8,14.8
53,14.8,14.8,14.8
54,14.8,14.8,14.8
55,14.8,14.8,14.8
56,14.8,14.8,14.8
57,14.8,14.8,14.8
58,14.8,14.8,14.8
59,14.8,14.8,14.8
60,14.8,14.8,14.8
61,14.8,14.8,14.8
62,14.8,14.8,14.8
63,14.8,14.8,14.8
64,14.8,14.8,14.8
65,14.8,14.8,14.8
66,14.8,14.8,14.8
67,14.8,14.8,14.8
68,14.8,14.8,14.8
69,14.8,14.8,14.8
70,14.8,14.8,14.8
71,14.8,14.8,14.8
72,14.8,14.8,14.8
73,14.8,14.8,14.8
74,14.8,14.8,14.8
75,14.8,14.8,14.8
76,14.8,14.8,14.8
77,14.8,14.8,14.8
78,14.8,14.8,14.8
79,14.8,14.8,14.8
80,14.8,14.8,14.8
81,14.8,14.8,14.8
82,14.8,14.8,14.8
83,14.8,14.8,14.8
84,14.8,14.8,14.8
85,14.8,14.8,14.8
86,14.8,14.8,14.8
87,14.8,14.8,14.8
88,14.8,14.8,14.8
89,14.8,14.8,14.8
90,14.8,14.8,14.8
91,14.8,14.8,14.8
92,14.8,14.8,14.8
93,14.8,14.8,14.8
94,14.8,14.8,14.8
95,14.8,14.8,14.8
96,14.8,14.8,14.8
97,14.8,14.8,14.8
