Time_Period,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.6802391971105,250.0
4,248.6802391971105,250.0
5,248.68023919711084,250.0
6,246.574976039216,247.89473684210526
7,246.574976039216,247.89473684210526
8,246.574976039216,247.89473684210526
9,244.46971288132298,247.89473684210526
10,244.46971288132298,245.8452548188211
11,244.46971288132323,245.8452548188211
12,244.46971288132323,246.26146019689097
13,242.36444972342795,246.73372149565782
14,242.36444972342795,247.20598279442467
15,242.36444972342795,247.46470446804352
16,242.36444972342795,247.51634128535915
17,242.36444972342795,248.00944063823957
18,240.919086093991,248.50253999112
19,238.88989470606668,248.9956393440004
20,238.88989470606668,249.48873869688083
21,239.34147624733797,249.48873869688083
22,239.79305778860925,247.3834755389861
23,240.24463932988053,245.27821238109135
24,240.6962208711518,243.1729492231966
25,241.1478024124231,242.25972846261325
26,241.59938395369437,242.25972846261325
27,242.05096549496565,242.25972846261325
28,242.50254703623693,242.25972846261325
29,242.95412857750821,242.25972846261325
30,243.4057101187795,240.1544653047185
31,243.85729166005078,240.1544653047185
32,244.30887320132206,240.1544653047185
33,244.76050130768778,240.1544653047185
34,244.76050130768778,240.1544653047185
35,242.850826238338,238.04920214682377
36,242.850826238338,235.94393898892903
37,242.850826238338,235.94393898892903
38,242.80922499346985,233.8386758310343
39,240.7061513747787,231.73341267313955
40,238.71157630207824,229.62814951524481
41,236.7112907795888,228.59869778582538
42,234.60602762169407,228.59869778582538
43,232.50076446379933,228.59869778582538
44,230.7223861394982,228.59869778582538
45,230.7223861394982,228.59869778582538
46,230.7223861394982,228.59869778582538
47,230.7223861394982,228.59869778582538
48,230.7223861394982,228.59869778582538
49,230.7223861394982,228.59869778582538
50,230.7223861394982,228.59869778582538
51,230.7223861394982,228.59869778582538
52,230.7223861394982,228.59869778582538
53,230.7223861394982,228.59869778582538
54,231.17401424586393,229.0917971387058
55,231.62564235222965,229.58489649158622
56,232.07727045859536,230.07799584446664
57,232.52889856496108,230.57109519734706
58,232.9805266713268,231.06419455022748
59,233.43215477769252,231.5572939031079
60,233.88378288405823,232.05039325598833
61,234.33541099042395,232.54349260886875
62,234.64464438356524,233.03659196174917
63,235.09627248993095,233.5296913146296
64,235.5479005962967,234.02279066751
65,235.5479005962967,234.22082070782636
66,235.99952870266245,234.71392006070678
67,236.4511568090282,235.2070194135872
68,236.90278491539394,235.70011876646763
69,237.35441302175968,236.19321811934805
70,237.80604112812543,236.68631747222847
71,238.25766923449117,237.1794168251089
72,238.70929734085692,237.6725161779893
73,239.16092544722267,238.16561553086973
74,239.6125535535884,238.65871488375015
75,240.06418165995416,239.15181423663057
76,240.5158097663199,239.644913589511
77,240.96743787268565,240.1380129423914
78,241.4190659790514,240.63111229527183
79,241.87069408541714,241.12421164815225
80,242.3223221917829,241.61731100103268
81,242.77395029814863,242.1104103539131
82,243.22557840451438,242.60350970679352
83,243.67720651088013,243.09660905967394
84,244.12883461724587,243.58970841255436
85,244.58046272361162,244.08280776543478
86,245.03209082997736,244.5759071183152
87,245.4837189363431,245.06900647119562
88,245.93534704270886,245.56210582407604
89,246.3869751490746,246.05520517695646
90,246.83860325543978,246.548304529837
91,247.29023136180552,247.0414038827167
92,247.74185946817127,247.53450323559727
93,248.19348757453702,248.0276025884778
94,248.64511568090276,248.52070194135834
95,249.0967437872685,249.0138012942389
96,249.54837189363425,249.50690064711944
97,250.0,250.0
