Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0,4.764336498431121,Digging,Idle,0.0
2,08:15,5.015091050980127,1.2537727627450317,0.0,Charging,Serving CEV,0.0,0.0,4.989984663182659,Digging,Traveling,-1.2537727627450317
3,08:30,0.0,1.2537727627450317,4.989984663182659,Digging,Idle,0.0,0.0,4.6363591868503535,Digging,Idle,-1.2537727627450317
4,08:45,-1.3491430195244902e-12,1.2537727627446944,4.6363591868503535,Digging,Idle,0.0,0.0,4.517112418656664,Digging,Idle,-1.2537727627446944
5,09:00,8.000000000000375,3.253772762744788,0.0,Charging,Serving CEV,8.0,2.0,0.0,Charging,Serving CEV,-1.2537727627447879
6,09:15,0.0,3.253772762744788,4.517112418656664,Digging,Idle,0.0,2.0,4.9943834316994495,Traveling,Traveling,-1.2537727627447879
7,09:30,0.0,3.253772762744788,4.9943834316994495,Traveling,Idle,0.0,2.0,4.336638499868317,Digging,Traveling,-1.2537727627447879
8,09:45,7.99999999999356,5.253772762743178,0.0,Charging,Serving CEV,0.0,2.0,2.921367853046169,Loading/Swinging,Idle,-3.2537727627431776
9,10:00,0.0,5.253772762743178,4.336638499868317,Digging,Idle,7.78803168847979,3.9470079221199477,0.0,Charging,Serving CEV,-1.30676484062323
10,10:15,-9.450218385609332e-13,5.253772762742941,5.008074212365046,Digging,Idle,0.0,3.9470079221199477,5.008074212365046,Digging,Traveling,-1.3067648406229937
11,10:30,0.0,5.253772762742941,4.9644221838317835,Digging,Idle,0.0,3.9470079221199477,4.9644221838317835,Digging,Charging (grid),-1.3067648406229937
12,10:45,8.000000000002016,7.253772762743445,0.0,Charging,Serving CEV,0.0,3.9470079221199477,4.327584989045563,Traveling,Charging (grid),-3.3067648406234973
13,11:00,0.0,7.253772762743445,4.778902569832251,Digging,Idle,0.0,3.9470079221199477,4.778902569832251,Digging,Charging (grid),-3.3067648406234973
14,11:15,0.0,7.253772762743445,4.327584989045563,Traveling,Idle,0.0,3.9470079221199477,0.0,Idle,Charging (grid),-3.3067648406234973
15,11:30,0.0,7.253772762743445,4.845273315283702,Digging,Idle,0.0,3.9470079221199477,3.2437673762908994,Loading/Swinging,Charging (grid),-3.3067648406234973
16,11:45,0.0,7.253772762743445,4.6622272316452165,Digging,Idle,0.0,3.9470079221199477,4.845273315283702,Digging,Charging (grid),-3.3067648406234973
17,12:00,5.492381791860362,8.626868210708535,0.0,Charging,Serving CEV,0.0,3.9470079221199477,0.0,Idle,Charging (grid),-4.679860288588587
18,12:15,7.71092727411244,10.554600029236646,0.0,Charging,Serving CEV,0.0,3.9470079221199477,0.0,Idle,Charging (grid),-6.607592107116698
19,12:30,0.0,10.554600029236646,0.0,Idle,Traveling,0.0,3.9470079221199477,0.0,Idle,Charging (grid),-6.607592107116698
20,12:45,0.0,10.554600029236646,0.0,Idle,Charging (grid),0.0,3.9470079221199477,0.0,Idle,Traveling,-6.607592107116698
21,13:00,0.0,10.554600029236646,0.0,Idle,Charging (grid),8.0,5.947007922119948,0.0,Charging,Serving CEV,-4.607592107116698
22,13:15,0.0,10.554600029236646,0.0,Idle,Charging (grid),8.0,7.947007922119948,0.0,Charging,Serving CEV,-2.607592107116698
23,13:30,0.0,10.554600029236646,0.0,Idle,Charging (grid),8.0,9.947007922119948,0.0,Charging,Serving CEV,-0.6075921071166981
24,13:45,0.0,10.554600029236646,0.0,Idle,Charging (grid),3.470238890216708,10.814567644674124,0.0,Charging,Serving CEV,0.25996761543747837
25,14:00,0.0,10.554600029236646,2.921367853046169,Loading/Swinging,Charging (grid),0.0,10.814567644674124,4.6622272316452165,Digging,Idle,0.25996761543747837
26,14:15,0.0,10.554600029236646,3.2437673762908994,Loading/Swinging,Charging (grid),0.0,10.814567644674124,4.432418460672224,Traveling,Idle,0.25996761543747837
27,14:30,0.0,10.554600029236646,4.432418460672224,Traveling,Charging (grid),0.0,10.814567644674124,4.872525412844321,Digging,Idle,0.25996761543747837
28,14:45,0.0,10.554600029236646,3.187943375556529,Loading/Swinging,Charging (grid),0.0,10.814567644674124,3.187943375556529,Loading/Swinging,Idle,0.25996761543747837
29,15:00,0.0,10.554600029236646,0.0,Idle,Charging (grid),8.0,12.814567644674124,0.0,Charging,Serving CEV,2.2599676154374784
30,15:15,0.0,10.554600029236646,3.4827374034556646,Loading/Swinging,Charging (grid),0.0,12.814567644674124,5.2254933443060985,Digging,Idle,2.2599676154374784
31,15:30,0.0,10.554600029236646,3.2424300305691327,Loading/Swinging,Charging (grid),0.0,12.814567644674124,3.4827374034556646,Loading/Swinging,Idle,2.2599676154374784
32,15:45,0.0,10.554600029236646,2.95138241439885,Loading/Swinging,Charging (grid),0.0,12.814567644674124,4.589226450068772,Traveling,Idle,2.2599676154374784
33,16:00,0.0,10.554600029236646,4.589226450068772,Traveling,Traveling,0.0,12.814567644674124,3.2424300305691327,Loading/Swinging,Idle,2.2599676154374784
34,16:15,7.256765263529249,12.368791345118957,0.0,Charging,Serving CEV,8.0,14.814567644674124,0.0,Charging,Serving CEV,2.445776299555167
35,16:30,0.0,12.368791345118957,4.872525412844321,Digging,Idle,8.0,16.814567644674124,0.0,Charging,Serving CEV,4.445776299555167
36,16:45,0.0,12.368791345118957,5.2254933443060985,Digging,Idle,0.0,16.814567644674124,2.95138241439885,Loading/Swinging,Idle,4.445776299555167
37,17:00,0.15808473049890076,12.408312527743682,0.0,Charging,Serving CEV,8.0,18.814567644674124,0.0,Charging,Serving CEV,6.406255116930442
38,17:15,7.9916797510263695,14.406232465500274,0.0,Charging,Serving CEV,8.0,20.814567644674124,0.0,Charging,Serving CEV,6.40833517917385
39,17:30,7.579385276261774,16.301078784565718,0.0,Charging,Serving CEV,8.0,22.814567644674124,0.0,Charging,Serving CEV,6.513488860108406
40,17:45,7.601084985459905,18.201350030930694,0.0,Charging,Serving CEV,3.91191657179385,23.792546787622587,0.0,Charging,Serving CEV,5.591196756691893
41,18:00,8.0,20.201350030930694,0.0,Charging,Serving CEV,0.0,23.792546787622587,0.0,Idle,Idle,3.591196756691893
42,18:15,8.0,22.201350030930694,0.0,Charging,Serving CEV,0.0,23.792546787622587,0.0,Idle,Idle,1.5911967566918932
43,18:30,6.757837632344214,23.89080943901675,0.0,Charging,Serving CEV,0.0,23.792546787622587,0.0,Idle,Idle,-0.09826265139416179
44,18:45,0.0,23.89080943901675,0.0,Idle,Traveling,0.0,23.792546787622587,0.0,Idle,Traveling,-0.09826265139416179
45,19:00,0.0,23.89080943901675,0.0,Idle,Idle,0.0,23.792546787622587,0.0,Idle,Idle,-0.09826265139416179
46,19:15,0.0,23.89080943901675,0.0,Idle,Idle,0.0,23.792546787622587,0.0,Idle,Idle,-0.09826265139416179
47,19:30,0.0,23.89080943901675,0.0,Idle,Idle,0.0,23.792546787622587,0.0,Idle,Idle,-0.09826265139416179
48,19:45,0.0,23.89080943901675,0.0,Idle,Idle,0.0,23.792546787622587,0.0,Idle,Idle,-0.09826265139416179
49,20:00,0.0,23.89080943901675,0.0,Idle,Idle,0.0,23.792546787622587,0.0,Idle,Idle,-0.09826265139416179
50,20:15,0.0,23.89080943901675,0.0,Idle,Idle,0.0,23.792546787622587,0.0,Idle,Idle,-0.09826265139416179
51,20:30,0.0,23.89080943901675,0.0,Idle,Idle,0.0,23.792546787622587,0.0,Idle,Idle,-0.09826265139416179
52,20:45,0.0,23.89080943901675,0.0,Idle,Idle,0.0,23.792546787622587,0.0,Idle,Idle,-0.09826265139416179
53,21:00,0.0,23.89080943901675,0.0,Idle,Charging (grid),0.0,23.792546787622587,0.0,Idle,Charging (grid),-0.09826265139416179
54,21:15,0.0,23.89080943901675,0.0,Idle,Charging (grid),0.0,23.792546787622587,0.0,Idle,Charging (grid),-0.09826265139416179
