Metric,A1S,A2S
Total_Cost_USD,67.56,81.18
Total_Energy_Cost_USD,8.45,8.0
Total_CO2_Cost_USD,0.31,0.33
NC_demand_charge_USD,38.8,42.85
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,20.0,30.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,26.38,26.27
Total_CO2_Emissions_kg,6.24,6.57
NCD_Peak_kW,1.93,2.13
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,1.0,1.5
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,182.38,7231.11
