Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,08:00,250.0,250.0,50.0
2,08:15,249.50000000000003,250.0,50.0
3,08:30,249.00000000000003,250.0,50.0
4,08:45,248.50000000000003,250.0,50.0
5,09:00,242.97752228302852,250.0,50.0
6,09:15,235.08278544092326,250.0,50.0
7,09:30,234.58278544092326,250.0,50.0
8,09:45,234.08278544092326,250.0,50.0
9,10:00,224.91819478389712,250.0,50.0
10,10:15,213.07608952073923,250.0,50.0
11,10:30,212.57608952073923,250.0,50.0
12,10:45,212.07608952073923,250.0,50.0
13,11:00,212.65953429734324,250.0,50.0
14,11:15,213.24297907394725,250.0,50.0
15,11:30,213.82642385055127,250.0,50.0
16,11:45,214.40986862715528,250.0,50.0
17,12:00,214.9933134037593,250.0,50.0
18,12:15,215.57675818036333,250.0,50.0
19,12:30,216.1602029569657,250.0,50.0
20,12:45,216.7436477335697,250.0,50.0
21,13:00,217.32709251017377,250.0,50.0
22,13:15,217.91053728677625,250.0,50.0
23,13:30,218.49398206338032,250.0,50.0
24,13:45,219.07742683998438,250.0,50.0
25,14:00,219.66087161658845,250.0,50.0
26,14:15,220.24431639319252,250.0,50.0
27,14:30,220.8277611697966,250.0,50.0
28,14:45,221.41120594640068,250.0,50.0
29,15:00,221.99465072300336,250.0,50.0
30,15:15,222.57809549960746,250.0,50.0
31,15:30,223.16154027621155,250.0,50.0
32,15:45,223.74498505281565,250.0,50.0
33,16:00,224.32842982941975,250.0,50.0
34,16:15,224.32842982941975,250.0,50.0
35,16:30,224.32842982941975,250.0,50.0
36,16:45,224.32842982941975,250.0,50.0
37,17:00,223.82842982941975,250.0,50.0
38,17:15,223.32842982941975,250.0,50.0
39,17:30,223.32842982941975,250.0,50.0
40,17:45,223.2202008783049,250.0,50.0
41,18:00,223.2202008783049,250.0,50.0
42,18:15,223.2202008783049,250.0,50.0
43,18:30,222.7202008783049,250.0,50.0
44,18:45,222.2202008783049,250.0,50.0
45,19:00,222.2202008783049,250.0,50.0
46,19:15,222.2202008783049,250.0,50.0
47,19:30,222.2202008783049,250.0,50.0
48,19:45,222.2202008783049,250.0,50.0
49,20:00,222.2202008783049,250.0,50.0
50,20:15,222.2202008783049,250.0,50.0
51,20:30,222.2202008783049,250.0,50.0
52,20:45,222.2202008783049,250.0,50.0
53,21:00,222.2202008783049,250.0,50.0
54,21:15,222.8515599492525,250.0,50.0
55,21:30,223.48291902020011,250.0,50.0
56,21:45,224.11427809114772,250.0,50.0
57,22:00,224.74563716209533,250.0,50.0
58,22:15,225.37699623304295,250.0,50.0
59,22:30,226.00835530399056,250.0,50.0
60,22:45,226.63971437493817,250.0,50.0
61,23:00,227.27107344588578,250.0,50.0
62,23:15,227.9024325168334,250.0,50.0
63,23:30,228.533791587781,250.0,50.0
64,23:45,229.1651506587286,250.0,50.0
65,00:00,229.79650972967622,250.0,50.0
66,00:15,230.42786880062386,250.0,50.0
67,00:30,231.05922787157147,250.0,50.0
68,00:45,231.69058694251908,250.0,50.0
69,01:00,232.3219460134667,250.0,50.0
70,01:15,232.9533050844143,250.0,50.0
71,01:30,233.5846641553619,250.0,50.0
72,01:45,234.21602322630955,250.0,50.0
73,02:00,234.84738229725716,250.0,50.0
74,02:15,235.47874136820477,250.0,50.0
75,02:30,236.11010043915238,250.0,50.0
76,02:45,236.7414595101,250.0,50.0
77,03:00,237.3728185810476,250.0,50.0
78,03:15,238.0041776519952,250.0,50.0
79,03:30,238.63553672294282,250.0,50.0
80,03:45,239.26689579389043,250.0,50.0
81,04:00,239.89825486483804,250.0,50.0
82,04:15,240.52961393578565,250.0,50.0
83,04:30,241.16097300673326,250.0,50.0
84,04:45,241.79233207768087,250.0,50.0
85,05:00,242.42369114862848,250.0,50.0
86,05:15,243.0550502195761,250.0,50.0
87,05:30,243.6864092905237,250.0,50.0
88,05:45,244.3177683614713,250.0,50.0
89,06:00,244.94912743241892,250.0,50.0
90,06:15,245.58048650336653,250.0,50.0
91,06:30,246.21184557431417,250.0,50.0
92,06:45,246.8432046452618,250.0,50.0
93,07:00,247.47456371620942,250.0,50.0
94,07:15,248.10592278715703,250.0,50.0
95,07:30,248.73728185810464,250.0,50.0
96,07:45,249.36864092905225,250.0,50.0
97,08:00,250.0,250.0,50.0
