Time_Period,MCS_1_A1S_kWh,MCS_1_A1R_kWh
1,250.0,250.0
2,250.0,250.0
3,247.5,250.0
4,245.39473684210526,247.50000000000014
5,245.39473684210526,247.50000000000014
6,245.39473684210526,247.50000000000014
7,245.39473684210526,247.50000000000014
8,243.28947368421052,245.67281822957824
9,243.28947368421055,245.67281822957824
10,243.28947368421055,245.67281822957824
11,243.28947368421055,245.67281822957824
12,243.28947368421055,245.67281822957824
13,241.1842105263158,243.5675550716835
14,241.1842105263158,243.5675550716835
15,241.1842105263158,243.5675550716835
16,241.1842105263158,243.5675550716835
17,241.18421052631575,243.5675550716835
18,239.078947368421,243.50767693407929
19,236.97368421052627,241.40241377618455
20,236.9736842105263,241.40241377618455
21,236.9736842105263,239.60354535513193
22,234.86842105263156,237.4982821972372
23,234.86842105263156,235.4275716709214
24,232.76315789473682,233.32230851302666
25,232.76315789473685,231.21704535513192
26,232.76315789473685,231.21704535513192
27,232.7631578947369,231.21704535513192
28,230.6578947368422,229.14299916833735
29,230.6578947368422,229.14299916833735
30,230.65789473684222,228.67523776194102
31,230.65789473684222,228.67523776194105
32,230.65789473684222,228.67523776194105
33,228.70588994125956,226.60062678336485
34,228.70588994125958,226.60062678336487
35,228.70588994125958,226.60062678336487
36,228.70588994125958,226.60062678336487
37,228.70588994125958,226.60062678336487
38,226.60062678336485,226.4376394368521
39,224.4953636254701,224.33237627895735
40,222.39010046757537,222.22711312106262
41,222.2271131210626,222.22711312106262
42,219.7271131210626,222.22711312106262
43,219.7271131210626,219.72711312106262
44,219.7271131210626,219.72711312106262
45,219.7271131210626,219.72711312106262
46,219.7271131210626,219.72711312106262
47,219.7271131210626,219.72711312106262
48,219.7271131210626,219.72711312106262
49,219.7271131210626,219.72711312106262
50,219.7271131210626,219.72711312106262
51,219.7271131210626,219.72711312106262
52,219.7271131210626,219.72711312106262
53,219.7271131210626,219.72711312106262
54,220.41513327740208,220.4151332774021
55,221.10315343374157,221.1031534337416
56,221.79117359008106,221.7911735900811
57,222.47919374642055,222.47919374642058
58,223.16721390276004,223.16721390276007
59,223.85523405909953,223.85523405909956
60,224.54325421543902,224.54325421543905
61,225.2312743717785,225.23127437177854
62,225.919294528118,225.91929452811803
63,226.6073146844575,226.60731468445752
64,227.29533484079698,227.295334840797
65,227.9833549971363,227.9833549971363
66,228.67137515347576,228.67137515347576
67,229.35939530981526,229.35939530981526
68,230.04741546615475,230.04741546615475
69,230.73543562249424,230.73543562249424
70,231.42345577883373,231.42345577883373
71,232.11147593517322,232.11147593517322
72,232.7994960915127,232.7994960915127
73,233.4875162478522,233.4875162478522
74,234.1755364041917,234.1755364041917
75,234.86355656053118,234.86355656053118
76,235.55157671687067,235.55157671687067
77,236.23959687321016,236.23959687321016
78,236.92761702954965,236.92761702954965
79,237.61563718588914,237.61563718588914
80,238.30365734222863,238.30365734222863
81,238.99167749856812,238.99167749856812
82,239.6796976549076,239.6796976549076
83,240.3677178112471,240.3677178112471
84,241.0557379675866,241.0557379675866
85,241.74375812392609,241.74375812392609
86,242.43177828026558,242.43177828026558
87,243.1197984366051,243.11979843660507
88,243.80781859294459,243.80781859294459
89,244.49583874928408,244.49583874928408
90,245.18385890562357,245.18385890562357
91,245.87187906196306,245.87187906196306
92,246.55989921830255,246.55989921830255
93,247.24791937464204,247.24791937464204
94,247.93593953098153,247.93593953098153
95,248.62395968732102,248.62395968732102
96,249.3119798436605,249.3119798436605
97,250.0,250.0
