Time_Period,CEV_1_A1R_kWh,CEV_1_A2R_kWh
1,14.8,14.8
2,13.474339417102168,13.474339417102168
3,12.138940969434252,12.138940969434252
4,10.811019192888619,10.81101919288862
5,12.811019192888619,12.81101919288862
6,11.717443871659587,11.71744387165959
7,10.753038798273122,13.12768343690123
8,12.753038798273096,12.163278363514765
9,13.70297164219616,11.084287459559112
10,12.623980738240506,10.043136627597374
11,11.582829906278768,9.017391518531259
12,10.557084797212669,11.017391518531259
13,9.193088639806101,9.65339536112469
14,11.193088639806101,8.718076363732168
15,10.257769642413578,7.6632110565256655
16,9.202904335207077,9.663211056525665
17,8.112156600816206,8.572463322134794
18,10.112156600814917,10.572463322134794
19,12.112156600814917,12.572463322134794
20,12.112156600814917,14.572463322134794
21,12.112156600814917,14.8
22,12.112156600814917,14.8
23,12.112156600814917,14.8
24,12.112156600814917,14.8
25,12.112156600814917,14.8
26,11.42870417451727,13.474492046503144
27,10.521884760581683,12.122382476352588
28,9.552310062108937,11.152807777879842
29,8.668494509076368,10.469355351582195
30,8.668494509076368,12.469355351582195
31,7.981750100250147,11.562535937646608
32,7.041994550529067,10.678720384614039
33,6.155255130054062,12.678720384614039
34,5.21246176566408,11.991975975787819
35,5.826975696543998,11.049182611397836
36,4.50146774304714,10.109427061676755
37,3.1493581728965845,9.22268764120175
38,3.413191675110707,11.22268764120175
39,5.399305701309965,13.22268764120175
40,7.294773384141582,14.8
41,9.195011927150444,14.8
42,11.094999372255241,14.8
43,13.094999372255241,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
