Time_Period,MCS_1_A0_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.67243767313022,250.0
4,248.6724376731308,250.0
5,248.6724376731308,250.0
6,246.56717451523605,250.0
7,246.56717451523605,250.0
8,246.56717451523605,250.0
9,244.4619113573413,250.0
10,244.4619113573413,250.0
11,244.78466066481974,247.89473684210526
12,245.2587824225634,247.89473684210526
13,245.73290418030706,247.89473684210526
14,246.20702593805072,247.89473684210526
15,246.68114769579438,247.89473684210526
16,247.15526945353804,245.78947368421052
17,247.6293912112817,243.68421052631538
18,248.10351296902536,241.9097303653396
19,248.57763472676902,239.81229260662468
20,249.05175648451268,239.81229260662468
21,249.52587824225634,240.2444920678335
22,250.0,240.67669152904233
23,250.0,241.11269873446275
24,247.89473684210526,241.54870593988318
25,245.78947368421052,241.9847131453036
26,245.78947368421052,242.42072035072403
27,245.78947368421052,242.85672755614445
28,245.78947368421052,243.2939425317414
29,243.68421052631578,243.2939425317414
30,243.68421052631578,241.18867937384667
31,243.68421052631578,241.18867937384667
32,243.68421052631578,241.18867937384667
33,243.68421052631578,241.18867937384667
34,241.57894736842104,241.18867937384667
35,241.57894736842104,239.08341621595193
36,241.57894736842104,239.08341621595193
37,241.57894736842104,239.08341621595193
38,239.4736842105263,236.9781530580572
39,237.36842105263156,234.87288990016245
40,235.26315789473682,232.7676267422677
41,235.26315789473682,230.66236358437297
42,233.15789473684208,228.55710042647823
43,231.05263157894734,228.4847172610836
44,231.05263157894734,228.4847172610836
45,229.13864265927918,228.4847172610836
46,229.13864265927918,228.4847172610836
47,229.13864265927918,228.4847172610836
48,229.13864265927918,228.4847172610836
49,229.13864265927918,228.4847172610836
50,229.13864265927918,228.4847172610836
51,229.13864265927918,228.4847172610836
52,229.13864265927918,228.4847172610836
53,229.13864265927918,228.4847172610836
54,229.61276441702285,228.97370095969535
55,230.0868861747665,229.4626846583071
56,230.56100793251017,229.95166835691884
57,231.03512969025383,230.4406520555306
58,231.50925144799749,230.92963575414234
59,231.98337320574115,231.4186194527541
60,232.4574949634848,231.90760315136583
61,232.93161672122847,232.39658684997758
62,233.40573847897213,232.88557054858933
63,233.87986023671579,233.37455424720108
64,234.35398199445945,233.86353794581282
65,234.8281037522031,234.35252164442443
66,235.30222550994677,234.84150534303618
67,235.77634726769043,235.33048904164792
68,236.25046902543409,235.81947274025967
69,236.72459078317775,236.30845643887142
70,237.1987125409214,236.79744013748316
71,237.67283429866507,237.2864238360949
72,238.14695605640873,237.77540753470666
73,238.6210778141524,238.2643912333184
74,239.09519957189605,238.75337493193015
75,239.5693213296397,239.2423586305419
76,240.04344308738337,239.73134232915365
77,240.51756484512703,240.2203260277654
78,240.9916866028707,240.70930972637714
79,241.46580836061435,241.1982934249889
80,241.939930118358,241.68727712360064
81,242.41405187610167,242.17626082221238
82,242.88817363384533,242.66524452082413
83,243.362295391589,243.15422821943588
84,243.83641714933265,243.64321191804763
85,244.3105389070763,244.13219561665937
86,244.78466066481997,244.62117931527112
87,245.25878242256363,245.11016301388287
88,245.7329041803073,245.59914671249462
89,246.20702593805095,246.08813041110636
90,246.6811476957946,246.57711410971785
91,247.15526945353827,247.06609780832957
92,247.62939121128193,247.55508150694132
93,248.1035129690256,248.044065205553
94,248.57763472676925,248.53304890416476
95,249.0517564845129,249.0220326027765
96,249.52587824225634,249.51101630138825
97,250.0,250.0
