Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.30264233159133,Digging,Traveling,0.0,0.0,5.30264233159133,Digging,Idle,0.0
2,08:15,5.04473684210517,1.2611842105262925,0.0,Charging,Serving CEV,0.0,0.0,5.341593790671668,Digging,Idle,-1.2611842105262925
3,08:30,-2.1227464230832993e-12,1.2611842105257618,5.341593790671668,Digging,Idle,0.0,0.0,2.723965325503851,Loading/Swinging,Idle,-1.2611842105257618
4,08:45,0.0,1.2611842105257618,5.311687106182523,Digging,Idle,0.0,0.0,5.311687106182523,Digging,Traveling,-1.2611842105257618
5,09:00,7.999999999999997,3.2611842105257614,0.0,Charging,Serving CEV,8.0,2.0,0.0,Charging,Serving CEV,-1.2611842105257614
6,09:15,0.0,3.2611842105257614,4.374301284916125,Digging,Idle,0.0,2.0,5.528697074593177,Traveling,Idle,-1.2611842105257614
7,09:30,0.0,3.2611842105257614,5.528697074593177,Traveling,Idle,8.000000000010068,4.000000000002517,0.0,Charging,Serving CEV,0.7388157894767557
8,09:45,8.0,5.261184210525761,0.0,Charging,Serving CEV,8.0,6.000000000002517,0.0,Charging,Serving CEV,0.7388157894767557
9,10:00,0.0,5.261184210525761,4.315963615822609,Digging,Traveling,0.0,6.000000000002517,4.374301284916125,Digging,Traveling,0.7388157894767557
10,10:15,0.0,5.261184210525761,4.164603327846952,Digging,Charging (grid),0.0,6.000000000002517,4.315963615822609,Digging,Charging (grid),0.7388157894767557
11,10:30,0.0,5.261184210525761,4.102980436264462,Digging,Charging (grid),0.0,6.000000000002517,4.164603327846952,Digging,Charging (grid),0.7388157894767557
12,10:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,6.000000000002517,4.102980436264462,Digging,Charging (grid),0.7388157894767557
13,11:00,0.0,5.261184210525761,5.455984629626272,Digging,Charging (grid),0.0,6.000000000002517,0.0,Idle,Charging (grid),0.7388157894767557
14,11:15,0.0,5.261184210525761,5.754316064415277,Traveling,Charging (grid),0.0,6.000000000002517,5.754316064415277,Traveling,Charging (grid),0.7388157894767557
15,11:30,0.0,5.261184210525761,4.21946122882601,Digging,Charging (grid),0.0,6.000000000002517,5.455984629626272,Digging,Charging (grid),0.7388157894767557
16,11:45,0.0,5.261184210525761,4.362990937563483,Digging,Charging (grid),0.0,6.000000000002517,4.21946122882601,Digging,Charging (grid),0.7388157894767557
17,12:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,6.000000000002517,0.0,Idle,Charging (grid),0.7388157894767557
18,12:15,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,6.000000000002517,0.0,Idle,Charging (grid),0.7388157894767557
19,12:30,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,6.000000000002517,0.0,Idle,Charging (grid),0.7388157894767557
20,12:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,6.000000000002517,0.0,Idle,Charging (grid),0.7388157894767557
21,13:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,6.000000000002517,0.0,Idle,Charging (grid),0.7388157894767557
22,13:15,0.0,5.261184210525761,0.0,Idle,Traveling,0.0,6.000000000002517,0.0,Idle,Traveling,0.7388157894767557
23,13:30,8.0,7.261184210525761,0.0,Charging,Serving CEV,8.0,8.000000000002517,0.0,Charging,Serving CEV,0.7388157894767557
24,13:45,8.0,9.261184210525762,0.0,Charging,Serving CEV,8.0,10.000000000002517,0.0,Charging,Serving CEV,0.7388157894767549
25,14:00,0.0,9.261184210525762,5.30203181398743,Digging,Idle,0.0,10.000000000002517,4.362990937563483,Digging,Idle,0.7388157894767549
26,14:15,0.0,9.261184210525762,5.4084382806022235,Digging,Idle,0.0,10.000000000002517,5.30203181398743,Digging,Idle,0.7388157894767549
27,14:30,0.0,9.261184210525762,3.6551198901338218,Traveling,Idle,0.0,10.000000000002517,3.6551198901338218,Traveling,Idle,0.7388157894767549
28,14:45,8.0,11.261184210525762,0.0,Charging,Serving CEV,0.0,10.000000000002517,3.591668644212635,Loading/Swinging,Idle,-1.2611842105232451
29,15:00,0.0,11.261184210525762,2.723965325503851,Loading/Swinging,Idle,3.634026809403047,10.908506702353279,0.0,Charging,Serving CEV,-0.35267750817248356
30,15:15,0.0,11.261184210525762,3.591668644212635,Loading/Swinging,Idle,0.0,10.908506702353279,3.615576493887413,Loading/Swinging,Idle,-0.35267750817248356
31,15:30,0.0,11.261184210525762,3.615576493887413,Loading/Swinging,Idle,0.0,10.908506702353279,5.4084382806022235,Digging,Idle,-0.35267750817248356
32,15:45,0.0,11.261184210525762,2.721811204989873,Loading/Swinging,Idle,0.0,10.908506702353279,2.721811204989873,Loading/Swinging,Idle,-0.35267750817248356
33,16:00,8.0,13.261184210525762,0.0,Charging,Serving CEV,7.91955185690679,12.888394666579977,0.0,Charging,Serving CEV,-0.37278954394578534
